fecha,producto,producto_representativo,carrefour,coope,coto,dia,disco,vea,marca
2025-07-14,Hummus Garbanzo Felices Las Vacas 220-230g,Hummus vegano Felices Las Vacas 230 g.,3360.0,,,,,,Felices las Vacas
2025-07-14,Hummus Garbanzo Felices Las Vacas con Palta 220g,Hummus de garbanzo Felices las vacas con palta 220 g.,2990.0,,,,,,Felices las Vacas
2025-07-14,Medallón Arveja Chickenvil Party Felices Las Vacas 2uni,Medallón de arveja Felices las Vacas chickenvil party 2 uni,2779.0,,,,,,Felices las Vacas
2025-07-14,Medallón Arveja Chickenvil Party Felices Las Vacas 4uni,Medallón de arveja Felices las Vacas chickenvil party 4 uni,6289.0,,,,,,Felices las Vacas
2025-07-14,Medallón Arveja Karnevil Party Felices Las Vacas 2uni,Medallón de arveja Felices las Vacas karnevil party 2 uni,2289.0,,,,,,Felices las Vacas
2025-07-14,Medallón Arveja Karnevil Party Felices Las Vacas 4uni,Medallón de arveja Felices las Vacas karnevil party 4 uni,5009.0,,,,,,Felices las Vacas
2025-07-14,Medallón Soja Big Classic Felices Las Vacas 2uni,Medallón de soja Felices las Vacas big classic 2 uni,2839.0,,,,,,Felices las Vacas
2025-07-14,Milanesa Arveja Sabor Carne Felices Las Vacas 2uni,Milanesa a base de arveja Felices las Vacas sabor carne 2 uni,3475.0,,,,,,Felices las Vacas
2025-07-14,Muzzalmendra Vegana Felices Las Vacas 500g,Muzzalmendra 500 Gr Felices Las Vacas,6089.0,6400.0,6089.0,,6250.0,,Felices las Vacas
2025-07-14,Pasta Vegana Sabor Provolone Felices Las Vacas 250g,Pasta vegana Felices Las Vacas sabor provolone 250 g.,4685.0,3990.0,4685.0,,,,Felices las Vacas
2025-07-14,Postre Plant Based Chocolate Felices Las Vacas 125g,Postre plant ba de chocolate Felices las Vacas 125 g.,1499.0,1450.0,,,,,Felices las Vacas
2025-07-14,Postre Plant Based Dulce de Leche Felices Las Vacas 125g,Postre plant bas de dulce de leche Felices las Vacas 125 g.,1160.0,1350.0,,,,,Felices las Vacas
2025-07-14,Queso Almendra Oliva Muzzoliva Felices Las Vacas 500g,Queso Vegano Muzzoliva Felices Las Vacas 500g,8390.0,,7625.0,,,,Felices las Vacas
2025-07-14,Queso Vegano Cheddar Fetas Felices Las Vacas 150g,Queso Vegano Cheddar En Fetas Felices Las Vacas 150g,2409.0,,2409.0,,,,Felices las Vacas
2025-07-14,Queso Vegano Hebras Mix de Quesos Felices Las Vacas 150g,Queso Vegano En Hebras Mix De Quesos Felices Las Vacas 150g,,,3515.0,,,,Felices las Vacas
2025-07-14,Queso Vegano Hebras Reggianito Felices Las Vacas 150g,Queso Vegano En Hebras Reggianito Felices Las Vacas 150g,,,3379.0,,,,Felices las Vacas
2025-07-14,Untable Almendras Clásico Felices Las Vacas 200g,Alimento A Base De Almendra Untable Tradicional 200 Gr Felices Las Vacas,2479.0,,,,2600.0,,Felices las Vacas
2025-07-14,Untable Almendras Finas Hierbas Felices Las Vacas 200g,Alim Base Alm Unt Felices Las Vacas F.hierbas 200g,2829.0,,,,2600.0,,Felices las Vacas
2025-07-14,Untable Almendras Tipo Cheddar Felices Las Vacas 200g,Alim Base Alm Unt Felices Las Vacas Cheddar 200g,,,,,2600.0,,Felices las Vacas
2025-07-14,Yogur Almendras Neutro Felices Las Vacas 170g,Jogurtti neutro base de almendras 170 g.,1889.0,,,,,,Felices las Vacas
2025-07-14,Yogur Almendras Vainilla Felices Las Vacas 170g,Jogurtti vainilla base de almendras Felices las vacas 170 g.,1765.0,,,,,,Felices las Vacas
2025-07-14,Yogur Plant Based Frutos Rojos Felices Las Vacas 125g,Yogur plant bas colchón de frutos rojos Felices las Vacas 125 g.,1639.0,,,,,,Felices las Vacas
2025-07-14,Yogur Plant Based Mango Maracuyá Felices Las Vacas 125g,Yogur plant bas colchón mango y maracuya Felices las Vacas 125 g.,1325.0,,,,,,Felices las Vacas
2025-07-15,Alfajor Chocolate Blanco Felices Las Vacas 60g,Alfajor de chocolate blancp Felices las Vacas 60 grs,1538.29,,,,,,Felices las Vacas
