fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2026-08-25,Hamburguesa Vegetal Soja Vegetalex 300g,Hamburguesas de Soja Tradicionales 300 Grs x 4 Un Vegetalex,,,,,7350.0,
2026-08-25,Hamburguesa Vegetal Tradicional Vegetalex 226g,Burger De Origen Vegetal Vegetalex 226g,7649.0,,7649.0,8230.0,,7650.0
2026-08-25,Hot Dogs 100% Vegetal Vegetalex 225g,Alimento a base de vegetales Vegetalex hot dog x6.,7649.0,,7649.0,8125.0,8550.0,
2026-08-25,"Medallones Vegetales Calabaza, Avena y Chía Vegetalex 300g",Medallones De Calabaza Avena Y Chia Vegetalex 300g,6829.0,,4438.85,7350.0,7350.0,7050.0
2026-08-25,Medallones Vegetales Espinaca Vegetalex 300g,Medallones De Espinaca Vegetalex 300g,6829.0,,4438.85,7350.0,7350.0,7050.0
2026-08-25,Medallones Vegetales Legumbres y Quinoa Vegetalex 300g,Medallones De Legumbres Y Quinoa Vegetalex 300g,,,6829.0,,7350.0,7050.0
2026-08-25,Medallones Vegetales Verduras Vegetalex 300g,Medallones De Verduras Vegetalex 300g,7279.0,5512.5,6829.0,,7350.0,7050.0
2026-08-25,Milanesa de Soja Calabaza Vegetalex 340g,Milanesa de calabaza Vegetalex 4 uni,5619.0,,3418.35,,5550.0,5050.0
2026-08-25,Milanesa de Soja Cebolla Vegetalex 340g,Milanesas De Soja Con Cebolla Vegetalex 340g,,,3463.85,,5550.0,5050.0
2026-08-25,Milanesa de Soja Espinaca Vegetalex 340g,Milanesa De Soja Con Espinaca Vegetalex 340 Gr.,5259.0,,3418.35,5590.0,5550.0,5050.0
2026-08-25,Milanesa de Soja Vegetalex Tradicional 340g,Milanesa de Soja Vegetalex Tradicional 340 Gr.,4750.0,,3112.85,5110.0,5100.0,
2026-08-25,Nuggets 100% Vegetal Vegetalex 300g,Nuggets De Origen Vegetal Vegetalex 300g,7649.0,,7649.0,,8100.0,
2026-08-25,Snack de Arroz Sabor Queso Vegetalex 40g,Snack De Arroz Sabor Queso Vegetalex 40g,,,1868.0,,,
2026-08-25,Snack de Arroz con Chocolate Vegetalex 60g,Snack De Arroz Con Chocolate Vegetalex 60g,,,2697.0,,,
2026-08-25,Snack de Arroz y Quinoa Vegetalex 40g,Snack De Arroz Y Quinoa Vegetalex 40g,,,1868.0,,,
