fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2025-10-12,Hamburguesa Vegetal Soja Vegetalex 300g,Hamburguesa Vegetalex Soja 300 Gr,5669.0,5590.0,,,6300.0,5800.0
2025-10-12,Hamburguesa Vegetal Tradicional Vegetalex 226g,Burger 100 Vegetal 226 Gr Vegetalex,6350.0,4790.0,3179.5,6350.0,7150.0,6650.0
2025-10-12,Hot Dogs 100% Vegetal Vegetalex 225g,Alimento a base de vegetales Vegetalex hot dog x6.,6329.0,,3164.5,6350.0,7250.0,6700.0
2025-10-12,Medallon NotBurger Quick NotCo 130 Gr.,Medallon NotBurger Quick NotCo 130 Gr.,,,,3121.0,,
2025-10-12,"Medallones Vegetales Calabaza, Avena y Chía Vegetalex 300g",Medallones De Calabaza Avena Y Chia Vegetalex 300g,2835.0,5590.0,2837.5,5670.0,6400.0,3867.5
2025-10-12,Medallones Vegetales Espinaca Vegetalex 300g,Medallones De Espinaca Vegetalex 300g,,5590.0,2837.5,5670.0,6400.0,3867.5
2025-10-12,Medallones Vegetales Legumbres y Quinoa Vegetalex 300g,Medallones De Legumbres Y Quinoa Vegetalex 300g,2834.5,5590.0,2837.5,,6400.0,3867.5
2025-10-12,Medallones Vegetales Verduras Vegetalex 300g,Medallones De Verduras Vegetalex 300g,2837.5,5590.0,2837.5,,6400.0,3867.5
2025-10-12,Medallón NotBurger Parrillera NotCo 220 Gr.,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,6640.0,,
2025-10-12,Milanesa de Soja Calabaza Vegetalex 340g,Milanesa Vegetalex Calabaza 340 Gr Vegetalex,4370.0,4390.0,2185.0,,3366.67,3022.5
2025-10-12,Milanesa de Soja Cebolla Vegetalex 340g,Milanesa Vegetalex Cebolla 340 Gr Vegetalex,4370.0,4390.0,2185.0,,3366.67,3022.5
2025-10-12,Milanesa de Soja Espinaca Vegetalex 340g,Milanesa Vegetalex Espinaca 340 Gr Vegetalex,3999.0,4390.0,1999.5,,3366.67,3022.5
2025-10-12,Milanesa de Soja Vegetalex Tradicional 340g,Milanesa Vegetalex Tradicional 340 Gr Vegetalex,3990.0,3990.0,2022.5,3990.0,3000.0,2730.0
2025-10-12,NotChicken Nuggets 300 Gr.,NotChicken Nuggets 300 Gr.,,,,7350.0,,
2025-10-12,NotMila Chicken 220 Gr.,NotMila Chicken 220 Gr.,,,,3515.0,,
2025-10-12,NotMila Crispy Rellena Espinaca 240 Gr.,NotMila Crispy Rellena Espinaca 240 Gr.,,,,5390.0,,
2025-10-12,NotMila Meat 220 Gr.,NotMila Meat 220 Gr.,,,,4220.0,,
2025-10-12,Nuggets 100% Vegetal Vegetalex 300g,Nuggets 100 Vegetal 300 Gr Vegetalex,6359.0,4790.0,3179.5,,7250.0,6700.0
2025-10-12,Snack de Arroz Sabor Queso Vegetalex 40g,Snack De Arroz Sabor Queso Vegetalex 40g,,,1586.0,,,
2025-10-12,Snack de Arroz con Chocolate Vegetalex 60g,Snack De Arroz Con Chocolate Vegetalex 60g,,,2290.0,,,
2025-10-12,Snack de Arroz y Quinoa Vegetalex 40g,Snack De Arroz Y Quinoa Vegetalex 40g,,,1586.0,,,
