fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2026-05-10,Medallon A Base De Vegetal X4 Not Burger 320g,Medallón Not burger premium flow pack 4 uni,10205.0,,,,,
2026-05-10,Medallon Not chicken burger flow pack x2 80 g.,Medallon Not chicken burger flow pack x2 80 g.,4629.0,,,,4900.0,4650.0
2026-05-10,Medallones Notco Not Burger X2 160grs,Medallones Notco Not Burger X2 160grs,5655.0,3700.45,,,,
2026-05-10,Mila con provenzal Notmila 110 grs,Mila con provenzal Notmila 110 grs,3185.0,,,,,
2026-05-10,Not Burger Parrillera 220g,Medallón Not burger parrillera 2 uni,7099.0,,,4950.0,,
2026-05-10,Not Burger XL 2x120g (240g),Medallones Notco Not Burger Xl Premium X2 240grs,8445.0,5514.6,,,,
2026-05-10,Not Burguer Quick 2 U De 65 Gr,Medallon NotBurger Quick NotCo 130 Gr.,3500.0,,,3500.0,2405.0,3550.0
2026-05-10,Not Chicken Burger Crispy 2x100g,Burger Crispy 2 Un X 100 Gr Not Chicken,3899.0,,,,6400.0,6050.0
2026-05-10,Not Chicken Mila 220g,Milanesa Not Chicken Mila 110 Gr X 2 U,3730.35,3739.45,,,,3900.0
2026-05-10,Not Chicken Mila con Semillas 220g,Mila con semillas NotChicken 110 grs,4100.85,,,,,
2026-05-10,Not Chicken Nuggets 300g,NotChicken Nuggets 300 Gr.,7945.0,8026.0,,7945.0,8550.0,8050.0
2026-05-10,Not Chicken Relleno Champis 240g,Medallones Notco Not Chicken Rellenos Champis X2 120grs,6345.0,7981.0,,,6750.0,
2026-05-10,Not Chicken Relleno Espinaca 240g,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 240grs,4124.25,6765.0,,,,6350.0
2026-05-10,Not Chicken Spicy 250g,Formados Notchicken Spicy Bit Con Salsa Tabasco 250grs,,7582.0,,,,
2026-05-10,Not Chicken Sticks 300g,Nuggets Notco Not Chicken Sticks Con Hierbas Congelados 300grs,,8026.0,,,8600.0,8200.0
2026-05-10,Not Chorixo 240g,Chorizo Vegano Congelado x 4 Un 240 Grs Not Chorixo,7356.75,,,,6760.0,
2026-05-10,Not Mila 220g,Milanesas Notco Not Mila X2 220grs,,3273.4,,4960.0,,
2026-05-10,Not Mila Chicken 220g,NotMila Chicken 220 Gr.,,,,5740.0,,
2026-05-10,Not Mila con Semillas 220g,Mila con semillas NotMila 110 grs,3548.35,3671.2,,,,
2026-05-10,Not Milk Avena 1L,Bebida Vegetal Avena X 1 L Not Milk,3701.75,,,,4095.0,
2026-05-10,Not Milk Original 1L,Leche plant based Not Milk original tetra 1lt,3701.75,,,,,
2026-05-10,Not Protein Bar Almond Salted Caramel 45g,Barra proteica Not Protein almond salted 45 grs,1462.5,,,,,
2026-05-10,Not Protein Bar Berry Pie 45g,Barra proteica Not Protein barry pie 45 grs,1462.5,,,,,
2026-05-10,Not Protein Bar Chocolate Brownie 45g,Barra proteica Not Protein chocolate 45 grs,1462.5,,,,,
2026-05-10,Not Protein Bar Crunchy Chocolemon 35g,Barra proteica Crunchy chocolemon notprotein 35 grs,1850.0,,,,,
2026-05-10,Not Protein Bar Crunchy Chocomaní 35g,Barra proteica NotProtein crunchy chocomani 35 grs,1850.0,,,,,
2026-05-10,Not Protein Bar Crunchy Netflix 35g,Barra proteica Notprotein crunchy netflix 35 grs,1850.0,,,,,
2026-05-10,Not Salxicha 250g,Salchicha de planta Not Salxicha 5 uni,4858.75,,,,,
