fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2025-10-09,Alfajor Maicena Felices Las Vacas 60g,Alfajor Felices Las Vacas de maicena 60 g.,1059.0,,,,,
2025-10-09,Alfajor Membrillo Felices Las Vacas 60g,Alfajor de membrillo Felices las Vacas 60 grs,1538.29,,,,,
2025-10-09,Alim Alm Clas Felices Las Vacas 200g,Alim Alm Clas Felices Las Vacas 200g,,,,,3050.0,
2025-10-09,Bombón Felices Las Vacas Relleno 48g,Bombón Felices Las Vacas relleno 48 g.,1249.0,,,,,
2025-10-09,Cremoso Vegano Felices Las Vacas 500g,Cremoso vegano Felices Las Vacas 500 g.,6589.0,,6589.0,,,
2025-10-09,Dulce de Almendras Colonial Felices Las Vacas 250g,Untable A Base De Almendras Felices Las Vacas Sabor Dulce De Leche 250grs,,1690.0,,,,
2025-10-09,Fetas Veganas Sabor Danbo Felices Las Vacas 200g,Fetas veganas Felices Las Vacas sabor danbo 200 g.,2519.0,,2519.0,,,
2025-10-09,Hummus Garbanzo Felices Las Vacas 220-230g,Hummus vegano Felices Las Vacas 230 g.,3360.0,,,,,
2025-10-09,Jogurtti a base de almendras sabor durazno Felices las vacas 170 grs,Jogurtti a base de almendras sabor durazno Felices las vacas 170 grs,1739.0,,,,,
2025-10-09,Jogurtti de frutilla con base de almendras Felices las Vacas 170 g.,Jogurtti de frutilla con base de almendras Felices las Vacas 170 g.,2095.0,,,,,
2025-10-09,Medallón Arveja Chickenvil Party Felices Las Vacas 2uni,Medallón de arveja Felices las Vacas chickenvil party 2 uni,2915.0,,,,,
2025-10-09,Medallón Arveja Karnevil Party Felices Las Vacas 2uni,Medallón de arveja Felices las Vacas karnevil party 2 uni,2405.0,,,,,
2025-10-09,Medallón Soja Big Classic Felices Las Vacas 2uni,Medallón de soja Felices las Vacas big classic 2 uni,2985.0,,,,,
2025-10-09,Muzzalmendra Vegana Felices Las Vacas 500g,Muzzalmendra vegana Felices Las Vacas 500 g.,6089.0,,6089.0,,,
2025-10-09,Pasta Vegana Sabor Provolone Felices Las Vacas 250g,Pasta vegana Felices Las Vacas sabor provolone 250 g.,4685.0,3990.0,4685.0,,,
2025-10-09,Postre Plant Based Chocolate Felices Las Vacas 125g,Postre plant ba de chocolate Felices las Vacas 125 g.,1569.0,1450.0,,,,
2025-10-09,Postre Plant Based Dulce de Leche Felices Las Vacas 125g,Postre plant bas de dulce de leche Felices las Vacas 125 g.,1600.0,1350.0,,,,
2025-10-09,Postrecito Sabor Chocolate Vegano Felices Las Vacas,Postrecito Sabor Chocolate Vegano Felices Las Vacas,,,,,1650.0,
2025-10-09,Postrecito Sabor Dulce De Leche Vegano Felices Las Vacas,Postrecito Sabor Dulce De Leche Vegano Felices Las Vacas,,,,,1072.5,
2025-10-09,Queso Almendra Oliva Muzzoliva Felices Las Vacas 500g,Queso Vegano Muzzoliva Felices Las Vacas 500g,8390.0,,7625.0,,,
2025-10-09,Queso En Hebras Sabor Reggianito Vegano Felices Las Vacas 150g,Queso En Hebras Sabor Reggianito Vegano Felices Las Vacas 150g,,,,,4000.0,
