fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2025-11-24,Barra proteica NotProtein crunchy chocomani 35 grs,Barra proteica NotProtein crunchy chocomani 35 grs,1750.0,,,,,
2025-11-24,Barra proteica Notprotein crunchy netflix 35 grs,Barra proteica Notprotein crunchy netflix 35 grs,1750.0,,,,,
2025-11-24,Bebida Vegetal Original X 1 L Not Milk,Bebida Vegetal Original X 1 L Not Milk,,,,,5750.0,5300.0
2025-11-24,Medallon A Base De Vegetal X4 Not Burger 320g,Medallón Not Burger Premium 320 Gr X 4 Un Not Co,9539.0,,6359.65,,6760.0,
2025-11-24,Medallon Not chicken burger flow pack x2 80 g.,Medallon Not chicken burger flow pack x2 80 g.,4239.0,4503.0,2969.48,,5000.0,2990.0
2025-11-24,Medallon NotBurger Quick NotCo 130 Gr.,Medallon NotBurger Quick NotCo 130 Gr.,,,,3270.0,,
2025-11-24,Medallones Notco Not Burger X2 160grs,Medallón Not burger premium flow pack 2 uni,3294.85,,3523.51,,3802.5,3510.0
2025-11-24,Mila con provenzal Notmila 110 grs,Mila con provenzal Notmila 110 grs,2891.85,,,,,
2025-11-24,Not Burger Parrillera 220g,Medallones Notco Burger Estilo Parrillera Congelados X2 110grs,6359.0,7229.0,4426.22,6350.0,4777.5,
2025-11-24,Not Burger XL 2x120g (240g),Medallón Not burger premium XL flow pack 2 uni,4841.85,,5263.6,,5687.5,5265.0
2025-11-24,Not Burguer Quick 2 U De 65 Gr,Medallón Not burger quick flow pack 2 uni,2125.5,,2182.78,,,
2025-11-24,Not Chicken Burger Crispy 2x100g,Burger Crispy 2 Un X 100 Gr Not Chicken,3753.75,,3465.0,,6400.0,
2025-11-24,Not Chicken Mila 220g,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,5159.0,,3790.19,,5650.0,
2025-11-24,Not Chicken Mila con Semillas 220g,Mila con semillas NotChicken 110 grs,3695.25,,,,,
2025-11-24,Not Chicken Nuggets 300g,NotChicken Nuggets 300 Gr.,7630.0,,5092.92,7630.0,,5070.0
2025-11-24,Not Chicken Relleno Champis 240g,Medallón relleno champis NotChicken 240 grs,5715.0,,3810.19,,,
2025-11-24,Not Chicken Relleno Espinaca 240g,Medallón relleno espinaca Not chicken 240 g.,3711.5,,3810.19,,6300.0,3770.0
2025-11-24,Not Chicken Relleno Napolitana 240g,Medallones Notco Not Chicken Crispy Rellenas Napolitanas X2 0.24kgs,3714.75,6095.0,,,,3770.0
2025-11-24,Not Chicken Spicy 250g,Bocadito plant based spicy bites Not Chicken 250 g.,4757.35,7290.0,4879.58,,8100.0,
2025-11-24,Not Chicken Sticks 300g,Notchicken Sticks 300g,7639.0,,5092.92,,8350.0,
2025-11-24,Not Chorixo 240g,Chorizo a base de planta NotChorixo 240 grs,8650.0,9120.0,5999.63,,,
2025-11-24,Not Ice Cream Chocolate Chip 330g,Helado Chocolate Chip NOT ICE CREAM 330 Grm,,,5532.94,,,
2025-11-24,Not Ice Cream Cookies & Cream 330g,Helado Vegetal Cookies Y Cream Not Ice 330g,,,5532.94,,,
2025-11-24,Not Ice Cream Paleta Chocolate Blanco 4x240g,Paletas Heladas De Chocolate Blanco Not Icecream 4 X 240 Gr,,,6070.3,,,
2025-11-24,Not Ice Cream Paleta Crema Americana 4x240g,Paletas Heladas De Crema Americana Not Icecream 4 X 240 Gr,,,6070.3,,,
2025-11-24,Not Mila 220g,Milanesas Notco Not Mila X2 220grs,,4537.0,2681.4,4460.0,,
2025-11-24,Not Mila Chicken 220g,NotMila Chicken 220 Gr.,,,3446.17,4000.0,,
2025-11-24,Not Mila con Semillas 220g,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,4919.0,,2951.4,,,
2025-11-24,Not Milk Avena 1L,Bebida Vegetal Avena X 1 L Not Milk,5600.0,,,,5750.0,
2025-11-24,Not Milk Original 1L,Leche plant based Not Milk original tetra 1lt,5600.0,,,,,
2025-11-24,Not Protein Bar Almond Salted Caramel 45g,Barra proteica Not Protein almond salted 45 grs,1363.33,,,,,
2025-11-24,Not Protein Bar Berry Pie 45g,Barra proteica Not Protein barry pie 45 grs,1363.33,,,,,
2025-11-24,Not Protein Bar Chocolate Brownie 45g,Barra proteica Not Protein chocolate 45 grs,1363.33,,,,,
2025-11-24,Not Protein Bar Crunchy Netflix 35g,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,,,,,1950.0,
2025-11-24,Not Salxicha 250g,Salchicha de planta Not Salxicha 5 uni,4289.25,,,,,
2025-11-24,NotMila Crispy Rellena Espinaca 240 Gr.,NotMila Crispy Rellena Espinaca 240 Gr.,,,,5710.0,,
2025-11-24,Notebook Gad-C3 Gadnic 141 I3 8GB DDR4 sodimm 512 GB SSD,Notebook Gad-C3 Gadnic 141 I3 8GB DDR4 sodimm 512 GB SSD,597049.0,,,,,
2025-11-24,"Notebook Gadnic G3 Intel Celeron 4GB RAM 128GB SSD 14.1""","Notebook Gadnic G3 Intel Celeron 4GB RAM 128GB SSD 14.1""",378149.0,,,,,
2025-11-24,Notebook Lenovo V15 G2 intel core I7 Ram 8Gb SSD 256GB FreeDOS 15.6,Notebook Lenovo V15 G2 intel core I7 Ram 8Gb SSD 256GB FreeDOS 15.6,1721049.0,,,,,
2025-11-24,Notmila Crispy Rellena Napolitana 240g (2u),Notmila Crispy Rellena Napolitana 240g (2u),,,3810.19,,,
