fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2025-11-04,Hamburguesa Vegetal Soja Vegetalex 300g,Hamburguesa Vegetalex Soja 300 Gr,,,,,6300.0,5800.0
2025-11-04,Hamburguesa Vegetal Tradicional Vegetalex 226g,Burger 100 Vegetal 226 Gr Vegetalex,6350.0,6349.0,3178.86,6350.0,7150.0,6650.0
2025-11-04,Hot Dogs 100% Vegetal Vegetalex 225g,Hot Dogs 100 Vegetal 225 Gr Vegetalex,,,3178.86,6350.0,7250.0,6700.0
2025-11-04,Medallon NotBurger Quick NotCo 130 Gr.,Medallon NotBurger Quick NotCo 130 Gr.,,,,1962.0,,
2025-11-04,"Medallones Vegetales Calabaza, Avena y Chía Vegetalex 300g",Medallones De Calabaza Avena Y Chia Vegetalex 300g,3780.0,5590.0,3688.75,5670.0,6400.0,5950.0
2025-11-04,Medallones Vegetales Espinaca Vegetalex 300g,Medallones De Espinaca Vegetalex 300g,3780.0,5590.0,3688.75,5670.0,6400.0,5950.0
2025-11-04,Medallones Vegetales Legumbres y Quinoa Vegetalex 300g,Medallones De Legumbres Y Quinoa Vegetalex 300g,3779.33,5590.0,3688.75,,6400.0,5950.0
2025-11-04,Medallones Vegetales Verduras Vegetalex 300g,Medallones De Verduras Vegetalex 300g,,5590.0,3688.75,,,5950.0
2025-11-04,Medallón NotBurger Parrillera NotCo 220 Gr.,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,3984.0,,
2025-11-04,Milanesa de Soja Calabaza Vegetalex 340g,Milanesa Vegetalex Calabaza 340 Gr Vegetalex,2913.33,2195.0,4370.0,,5050.0,4650.0
2025-11-04,Milanesa de Soja Cebolla Vegetalex 340g,Milanesa Vegetalex Cebolla 340 Gr Vegetalex,2913.33,2195.0,4370.0,,5050.0,4650.0
2025-11-04,Milanesa de Soja Espinaca Vegetalex 340g,Milanesa Vegetalex Espinaca 340 Gr Vegetalex,2666.0,2195.0,4369.0,,5050.0,4650.0
2025-11-04,Milanesa de Soja Vegetalex Tradicional 340g,Milanesa Vegetalex Tradicional 340 Gr Vegetalex,2660.0,1995.0,4045.0,3990.0,4500.0,4200.0
2025-11-04,NotChicken Nuggets 300 Gr.,NotChicken Nuggets 300 Gr.,,,,4578.0,,
2025-11-04,NotMila Chicken 220 Gr.,NotMila Chicken 220 Gr.,,,,3096.0,,
2025-11-04,NotMila Crispy Rellena Espinaca 240 Gr.,NotMila Crispy Rellena Espinaca 240 Gr.,,,,3426.0,,
2025-11-04,NotMila Meat 220 Gr.,NotMila Meat 220 Gr.,,,,2676.0,,
2025-11-04,Nuggets 100% Vegetal Vegetalex 300g,Nuggets 100 Vegetal 300 Gr Vegetalex,6359.0,6349.0,3178.86,,7250.0,6700.0
2025-11-04,Snack de Arroz Sabor Queso Vegetalex 40g,Snack De Arroz Sabor Queso Vegetalex 40g,,,1586.0,,,
2025-11-04,Snack de Arroz con Chocolate Vegetalex 60g,Snack De Arroz Con Chocolate Vegetalex 60g,,,2290.0,,,
2025-11-04,Snack de Arroz y Quinoa Vegetalex 40g,Snack De Arroz Y Quinoa Vegetalex 40g,,,1586.0,,,
