fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2026-01-10,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,,,3695.25,,,
2026-01-10,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,,,3197.35,,,
2026-01-10,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,,,,,1950.0,
2026-01-10,Barra proteica Not Protein almond salted 45 grs,Barra proteica Not Protein almond salted 45 grs,1406.67,,,,,
2026-01-10,Barra proteica Not Protein barry pie 45 grs,Barra proteica Not Protein barry pie 45 grs,1406.67,,,,,
2026-01-10,Barra proteica Not Protein chocolate 45 grs,Barra proteica Not Protein chocolate 45 grs,1406.67,,,,,
2026-01-10,Barra proteica NotProtein crunchy chocomani 35 grs,Barra proteica NotProtein crunchy chocomani 35 grs,1810.0,,,,,
2026-01-10,Barra proteica Notprotein crunchy netflix 35 grs,Barra proteica Notprotein crunchy netflix 35 grs,1810.0,,,,,
2026-01-10,Bebida Vegetal Avena X 1 L Not Milk,Bebida Vegetal Avena X 1 L Not Milk,,,,,3737.5,
2026-01-10,Bebida Vegetal Original X 1 L Not Milk,Bebida Vegetal Original X 1 L Not Milk,,,,,3737.5,
2026-01-10,Leche plant based Not Milk original tetra 1lt,Leche plant based Not Milk original tetra 1lt,3640.0,,,,,
2026-01-10,Medallon A Base De Vegetal X4 Not Burger 320g,Medallón Not Burger Premium 320 Gr X 4 Un Not Co,9539.0,,,,,9600.0
2026-01-10,Medallon Not chicken burger flow pack x2 80 g.,Medallon Not chicken burger flow pack x2 80 g.,4455.0,3152.1,,,3500.0,3450.0
2026-01-10,Medallon NotBurger Quick NotCo 130 Gr.,Medallon NotBurger Quick NotCo 130 Gr.,,,,3270.0,,
2026-01-10,Medallon Notchicken Burger 160g (2u),Medallon Notchicken Burger 160g (2u),,,2895.1,,,
2026-01-10,Medallon Notchicken Burger Crispy 200g (2u),Medallon Notchicken Burger Crispy 200g (2u),,,3753.75,,,
2026-01-10,Medallones Notco Not Burger X2 160grs,Medallón Not burger premium flow pack 2 uni,3379.33,,,,,5400.0
2026-01-10,Medallón NotBurger Parrillera NotCo 220 Gr.,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,4300.0,,
2026-01-10,Medallón Notburger Notco 160g (2u),Medallón Notburger Notco 160g (2u),,,3435.25,,,
2026-01-10,Medallón Notburger Notco 320g (4u),Medallón Notburger Notco 320g (4u),,,6200.35,,,
2026-01-10,Medallón Notburger Parrillera Notco 220g (2u),Medallón Notburger Parrillera Notco 220g (2u),,,4315.35,,,
2026-01-10,Medallón Notburger Quick Notco 130g (2u),Medallón Notburger Quick Notco 130g (2u),,,2128.1,,,
2026-01-10,Medallón Xl Notburger Notco 240g (2u),Medallón Xl Notburger Notco 240g (2u),,,5131.75,,,
2026-01-10,Mila con provenzal Notmila 110 grs,Mila con provenzal Notmila 110 grs,2966.0,,,,,
2026-01-10,Not Burger Parrillera 220g,Medallón Not burger parrillera 2 uni,6299.0,,,,,6800.0
2026-01-10,Not Burger XL 2x120g (240g),Medallón Not burger premium XL flow pack 2 uni,7749.0,,,,8750.0,8100.0
2026-01-10,Not Burguer Quick 2 U De 65 Gr,Medallón Not burger quick flow pack 2 uni,2180.0,,,,,3300.0
2026-01-10,Not Chicken Burger Crispy 2x100g,Burger Crispy 2 Un X 100 Gr Not Chicken,3850.0,,,,,4425.0
2026-01-10,Not Chicken Mila 220g,Milanesa Not Chicken Mila 110 Gr X 2 U,3439.33,,,,5650.0,5200.0
