fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2025-10-21,Alfajor Maicena Felices Las Vacas 60g,Alfajor Felices Las Vacas de maicena 60 g.,1059.0,,,,,
2025-10-21,Alfajor Maní Felices Las Vacas 60g,Alfajor Felices Las Vacas de maní 60 g.,1539.0,,,,,
2025-10-21,Alfajor Pistacho Felices Las Vacas 60g,Alfajor de pistacho Felices las Vacas 60 grs,4000.0,,,,,
2025-10-21,Bocadito Coco y Dátiles Felices Las Vacas 22g,Bocadito de coco y datiles Felices las Vacas 22 grs,1200.0,,,,,
2025-10-21,Bocadito Maní y Dátiles Felices Las Vacas 22g,Bocadito de maní y datiles Felices las Vacas 22 grs,1200.0,,,,,
2025-10-21,Bombón Felices Las Vacas Relleno 48g,Bombón Felices Las Vacas relleno 48 g.,1249.0,,,,,
2025-10-21,Cremoso Vegano Felices Las Vacas 500g,Cremoso Base De Almendras Felices Las Vacas 500 Gr Felices Las Vacas,6589.0,,7269.0,,7150.0,
2025-10-21,Dulce de Almendras Colonial Felices Las Vacas 250g,Dulce de almendras colonial Felices las vacas 250 g.,2885.0,2150.0,,,,
2025-10-21,Fetas Veganas Sabor Danbo Felices Las Vacas 200g,Fetas veganas Felices Las Vacas sabor danbo 200 g.,2519.0,,2539.0,,,
2025-10-21,Hummus Garbanzo Felices Las Vacas 220-230g,Hummus vegano Felices Las Vacas 230 g.,3360.0,,,,,
2025-10-21,Medallón Arveja Chickenvil Party Felices Las Vacas 2uni,Medallón de arveja Felices las Vacas chickenvil party 2 uni,2915.0,,,,,
2025-10-21,Medallón Arveja Karnevil Party Felices Las Vacas 2uni,Medallón de arveja Felices las Vacas karnevil party 2 uni,2405.0,,,,,
2025-10-21,Medallón Soja Big Classic Felices Las Vacas 2uni,Medallón de soja Felices las Vacas big classic 2 uni,2985.0,,,,,
2025-10-21,Muzzalmendra Vegana Felices Las Vacas 500g,Muzzalmendra 500 Gr Felices Las Vacas,6089.0,,6955.0,,6750.0,
2025-10-21,Pasta Vegana Sabor Provolone Felices Las Vacas 250g,Pasta vegana Felices Las Vacas sabor provolone 250 g.,4685.0,3990.0,5399.0,,,
2025-10-21,Postre Plant Based Chocolate Felices Las Vacas 125g,Postre plant ba de chocolate Felices las Vacas 125 g.,1569.0,1450.0,,,1650.0,
2025-10-21,Postre Plant Based Dulce de Leche Felices Las Vacas 125g,Postre plant bas de dulce de leche Felices las Vacas 125 g.,1040.0,1350.0,,,1650.0,
2025-10-21,Queso Almendra Oliva Muzzoliva Felices Las Vacas 500g,Queso Vegano Muzzoliva Felices Las Vacas 500g,8390.0,,8499.0,,,
2025-10-21,Queso Vegano Cheddar Fetas Felices Las Vacas 150g,Queso Vegano Cheddar En Fetas Felices Las Vacas 150g,2409.0,,2539.0,,,
2025-10-21,Queso Vegano Hebras Mix de Quesos Felices Las Vacas 150g,Queso En Hebras Sabor Mix Vegano Felices Las Vacas 150g,,,3569.0,,4000.0,
2025-10-21,Queso Vegano Hebras Reggianito Felices Las Vacas 150g,Queso En Hebras Sabor Reggianito Vegano Felices Las Vacas 150g,,,3569.0,,4000.0,
2025-10-21,Untable Almendras Clásico Felices Las Vacas 200g,Alim Alm Clas Felices Las Vacas 200g,2609.0,1890.0,,,3050.0,
2025-10-21,Untable Almendras Finas Hierbas Felices Las Vacas 200g,Alim Base Alm Unt Felices Las Vacas F.hierbas 200g,2970.0,,,,2600.0,
2025-10-21,Untable Almendras Jamón Serrano Felices Las Vacas 200g,Producto Untable A Base De Almendras Felices Las Vacas Sabor Jamón Serrano 200grs,,1750.0,,,,
2025-10-21,Untable Almendras Tipo Cheddar Felices Las Vacas 200g,Producto Untable A Base De Almendras Felices Las Vacas Sabor Cheddar 200grs,,1890.0,,,,
2025-10-21,Yogur Almendras Durazno Felices Las Vacas 170g,Jogurtti a base de almendras sabor durazno Felices las vacas 170 grs,1739.0,,,,2300.0,
2025-10-21,Yogur Almendras Frutilla Felices Las Vacas 170g,Jogurtti de frutilla con base de almendras Felices las Vacas 170 g.,2095.0,,,,2300.0,
2025-10-21,Yogur Almendras Neutro Felices Las Vacas 170g,Jogurtti neutro base de almendras 170 g.,1985.0,,,,2300.0,
2025-10-21,Yogur Almendras Vainilla Felices Las Vacas 170g,Jogurtti vainilla base de almendras Felices las vacas 170 g.,1855.0,,,,2300.0,
2025-10-21,Yogur Plant Based Frutos Rojos Felices Las Vacas 125g,Yogur plant bas colchón de frutos rojos Felices las Vacas 125 g.,1719.0,,,,1950.0,
2025-10-21,Yogur Plant Based Mango Maracuyá Felices Las Vacas 125g,Yogur plant bas colchón mango y maracuya Felices las Vacas 125 g.,1130.35,,,,1950.0,
