fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2026-03-21,Barra proteica Crunchy chocolemon notprotein 35 grs,Barra proteica Crunchy chocolemon notprotein 35 grs,1850.0,,,,,
2026-03-21,Barra proteica NotProtein crunchy chocomani 35 grs,Barra proteica NotProtein crunchy chocomani 35 grs,1850.0,,,,,
2026-03-21,Barra proteica Notprotein crunchy netflix 35 grs,Barra proteica Notprotein crunchy netflix 35 grs,1850.0,,,,,
2026-03-21,Medallon A Base De Vegetal X4 Not Burger 320g,Medallones Notco Not Burger Premium X4 320grs,9539.0,10265.0,6633.25,,7442.5,
2026-03-21,Medallon Not chicken burger flow pack x2 80 g.,Medallon Not chicken burger flow pack x2 80 g.,4455.0,,3008.85,,4850.0,4600.0
2026-03-21,Medallon NotBurger Quick NotCo 130 Gr.,Medallon NotBurger Quick NotCo 130 Gr.,,,,3500.0,,
2026-03-21,Medallones Notco Not Burger X2 160grs,Medallones Notco Not Burger X2 160grs,3435.25,5693.0,3675.75,,4257.5,
2026-03-21,Mila con provenzal Notmila 110 grs,Mila con provenzal Notmila 110 grs,4449.0,,,,,
2026-03-21,Not Burger Parrillera 220g,Medallón Not burger parrillera 2 uni,6609.0,,4614.35,7100.0,4680.0,
2026-03-21,Not Burger XL 2x120g (240g),Medallones Notco Not Burger Xl Premium X2 240grs,7749.0,8484.0,5489.25,,6207.5,5915.0
2026-03-21,Not Burguer Quick 2 U De 65 Gr,Medallón Not burger quick flow pack 2 uni,2125.5,,2280.85,,,
2026-03-21,Not Chicken Burger Crispy 2x100g,Burger Crispy 2 Un X 100 Gr Not Chicken,3753.75,4186.7,3899.35,,6400.0,5900.0
2026-03-21,Not Chicken Mila 220g,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,3353.35,5753.0,4100.85,,5500.0,
2026-03-21,Not Chicken Mila con Semillas 220g,Mila con semillas NotChicken 110 grs,6309.0,,,,,
2026-03-21,Not Chicken Nuggets 300g,NotChicken Nuggets 300 Gr.,7630.0,5618.2,5164.25,5500.0,8150.0,7800.0
2026-03-21,Not Chicken Relleno Champis 240g,Medallones Notco Not Chicken Rellenos Champis X2 120grs,5715.0,5586.7,4124.25,,,
2026-03-21,Not Chicken Relleno Espinaca 240g,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 240grs,5710.0,4735.5,4124.25,,6300.0,5950.0
2026-03-21,Not Chicken Spicy 250g,Bocaditos De Pollo Spicy Bites 250 Gr Not Chicken,,5307.4,4945.85,,8100.0,
2026-03-21,Not Chicken Sticks 300g,Notchicken Sticks 300g,7639.0,5618.2,5164.25,,8150.0,7950.0
2026-03-21,Not Chorixo 240g,Chorizo a base de planta NotChorixo 240 grs,6749.25,,6375.85,,,
2026-03-21,Not Mila 220g,Milanesas Notco Not Mila X2 220grs,,5036.0,3223.35,3224.0,,
2026-03-21,Not Mila Chicken 220g,NotMila Chicken 220 Gr.,,,3730.35,3990.0,,
2026-03-21,Not Mila con Semillas 220g,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,5459.0,5648.0,3548.35,,,
2026-03-21,Not Milk Avena 1L,Bebida Vegetal Avena X 1 L Not Milk,3965.0,,,,6300.0,
2026-03-21,Not Milk Original 1L,Bebida Vegetal NOT MILK Original X 1 Lt,3701.75,,3701.75,,,
2026-03-21,Not Protein Bar Almond Salted Caramel 45g,Barra proteica Not Protein almond salted 45 grs,1406.67,,,,,
2026-03-21,Not Protein Bar Berry Pie 45g,Barra proteica Not Protein barry pie 45 grs,1406.67,,,,,
2026-03-21,Not Protein Bar Chocolate Brownie 45g,Barra proteica Not Protein chocolate 45 grs,1406.67,,,,,
2026-03-21,Not Protein Bar Crunchy Netflix 35g,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,,,,,1300.0,
2026-03-21,Not Salxicha 250g,Salchicha de planta Not Salxicha 5 uni,4289.25,,,,,
2026-03-21,Notebook Gadnic 14 Pulgadas Intel Celeron N4020 RAM 4GB SSD 128GB Cámara Frontal,Notebook Gadnic 14 Pulgadas Intel Celeron N4020 RAM 4GB SSD 128GB Cámara Frontal,352749.0,,,,,
2026-03-21,"Notebook Samsung Galaxy Book 3 15,6"" i3 8gb Ram 256gb 120hz Silver","Notebook Samsung Galaxy Book 3 15,6"" i3 8gb Ram 256gb 120hz Silver",948699.0,,,,,
2026-03-21,Notebook Samsung Galaxy Book4 15 6 Intel® Core™ i3 RAM 8 GB,Notebook Samsung Galaxy Book4 15 6 Intel® Core™ i3 RAM 8 GB,1759849.0,,,,,
2026-03-21,Notebook Samsung Galaxy Book4 15 6 Intel® Core™ i5 RAM 16 GB,Notebook Samsung Galaxy Book4 15 6 Intel® Core™ i5 RAM 16 GB,1864049.0,,,,,
2026-03-21,Notebook Samsung Galaxy Book4 15 6 Intel® Core™ i7 RAM 16 GB,Notebook Samsung Galaxy Book4 15 6 Intel® Core™ i7 RAM 16 GB,2143249.0,,,,,
2026-03-21,Notmila Crispy Rellena Napolitana 240g (2u),Notmila Crispy Rellena Napolitana 240g (2u),,,3714.75,,,
2026-03-21,Resaltador Sharpie S.Note Colores Varios,Resaltador Sharpie S.Note Colores Varios,,5154.0,,,,
