fecha,producto_unificado,producto_representativo,carrefour,coope,coto,dia,disco,vea
2026-04-23,Alfajor Chocolate Blanco Felices Las Vacas 60g,Alfajor de chocolate blancp Felices las Vacas 60 grs,1538.29,,,,,
2026-04-23,Alfajor Maicena Felices Las Vacas 60g,Alfajor Felices Las Vacas de maicena 60 g.,1159.0,,,,,
2026-04-23,Alfajor Maní Felices Las Vacas 60g,Alfajor Felices Las Vacas de maní 60 g.,1695.0,,,,,
2026-04-23,Alfajor de pistacho Felices las Vacas 60 grs,Alfajor de pistacho Felices las Vacas 60 grs,4000.0,,,,,
2026-04-23,Bocadito de coco y datiles Felices las Vacas 22 grs,Bocadito de coco y datiles Felices las Vacas 22 grs,1200.0,,,,,
2026-04-23,Bocadito de maní y datiles Felices las Vacas 22 grs,Bocadito de maní y datiles Felices las Vacas 22 grs,1200.0,,,,,
2026-04-23,Bocaditos Felices las Vacas de pistacho con chocolate 22 grs,Bocaditos Felices las Vacas de pistacho con chocolate 22 grs,3500.0,,,,,
2026-04-23,Bombón Felices Las Vacas relleno 48 g.,Bombón Felices Las Vacas relleno 48 g.,1379.0,,,,,
2026-04-23,Cremoso Base De Almendras Felices Las Vacas 500 Gr Felices Las Vacas,Cremoso Base De Almendras Felices Las Vacas 500 Gr Felices Las Vacas,,,,,8600.0,
2026-04-23,Cremoso Vegano Felices Las Vacas 500g,Cremoso vegano Felices Las Vacas 500 g.,7849.0,7190.0,,,,
2026-04-23,Dulce de Almendras Colonial Felices Las Vacas 250g,Dulce de almendras colonial Felices las vacas 250 g.,3169.0,2469.0,,,,
2026-04-23,Fetas Veganas Sabor Danbo Felices Las Vacas 200g,Fetas veganas Felices Las Vacas sabor danbo 200 g.,2799.0,,,,,
2026-04-23,Hummus Garbanzo Felices Las Vacas 220-230g,Hummus De Garbanzo Vegano Felices Las Vacas 220grs,3360.0,2290.0,,,,
2026-04-23,Medallón Arveja Chickenvil Party Felices Las Vacas 2uni,Medallón de arveja Felices las Vacas chickenvil party 2 uni,3209.0,,,,,
2026-04-23,Medallón Arveja Karnevil Party Felices Las Vacas 2uni,Medallón de arveja Felices las Vacas karnevil party 2 uni,2645.0,,,,,
2026-04-23,Medallón Soja Big Classic Felices Las Vacas 2uni,Medallón de soja Felices las Vacas big classic 2 uni,3285.0,,,,,
2026-04-23,Muzzalmendra Vegana Felices Las Vacas 500g,Muzzalmendra 500 Gr Felices Las Vacas,7510.0,,,,8200.0,
2026-04-23,Pepas de membirllo Felices las Vacas 300 grs,Pepas de membirllo Felices las Vacas 300 grs,3000.0,,,,,
2026-04-23,Postre Plant Based Chocolate Felices Las Vacas 125g,Postre plant ba de chocolate Felices las Vacas 125 g.,1729.0,,,,,
2026-04-23,Postre Plant Based Dulce de Leche Felices Las Vacas 125g,Postre plant bas de dulce de leche Felices las Vacas 125 g.,1729.0,,,,,
2026-04-23,Queso Almendra Oliva Muzzoliva Felices Las Vacas 500g,Queso de almendra con oliva muzzoliva Felices las Vacas 500 grs,8390.0,,,,,
2026-04-23,Queso En Hebras Sabor Mix Vegano Felices Las Vacas 150g,Queso En Hebras Sabor Mix Vegano Felices Las Vacas 150g,,,,,4200.0,
2026-04-23,Queso Untable de Almendras Premium Sabor Tradicional 200 Grs Felices Las Vacas,Queso Untable de Almendras Premium Sabor Tradicional 200 Grs Felices Las Vacas,,,,,3450.0,
2026-04-23,Queso Vegano Cheddar Fetas Felices Las Vacas 150g,Queso cheddar en fetas Felices las Vacas 150 g.,2669.0,,,,,
2026-04-23,Untable Almendras Clásico Felices Las Vacas 200g,Untabla clásico cremoso Felices las vacas 200 g.,2869.0,,,,,
2026-04-23,Untable Almendras Finas Hierbas Felices Las Vacas 200g,Alim Base Alm Unt Felices Las Vacas F.hierbas 200g,,,,,2600.0,
2026-04-23,Yogur Almendras Neutro Felices Las Vacas 170g,Jogurtti neutro base de almendras 170 g.,2179.0,,,,,
2026-04-23,Yogur Almendras Vainilla Felices Las Vacas 170g,Jogurtti vainilla base de almendras Felices las vacas 170 g.,2039.0,,,,,
2026-04-23,Yogur Plant Based Mango Maracuyá Felices Las Vacas 125g,Yogur plant bas colchón mango y maracuya Felices las Vacas 125 g.,1915.0,,,,,
2026-04-23,Yogur plant bas colchón de frutos de bosque Felices las Vacas 125 g.,Yogur plant bas colchón de frutos de bosque Felices las Vacas 125 g.,1890.0,,,,,
2026-04-23,Yogurt Sabor Natural Vegano Felices Las Vacas 170g,Yogurt Sabor Natural Vegano Felices Las Vacas 170g,,,,,2300.0,
