fecha,producto,carrefour,coope,coto,dia,disco,vea
2026-09-11,Alimento a base de vegetales Vegetalex hot dog x6.,"$ 7.649,00",,,,,
2026-09-11,Burger 100 Vegetal 226 Gr Vegetalex,,,,,,$7.990
2026-09-11,Burger De Origen Vegetal Vegetalex 226g,,,"$7.649,00",,,
2026-09-11,Hamburguesa De Soja Vegetalex Tradicional 226 Gr.,,,,$ 8.230,,
2026-09-11,Hamburguesa Vegetalex Soja 300 Gr,,,,,"$7.350,00",$7.190
2026-09-11,Hot Dogs 100 Vegetal 225 Gr Vegetalex,,,,,"$8.550,00",$7.990
2026-09-11,Hot Dogs De Origen Vegetal Vegetalex 225g,,,"$7.649,00",,,
2026-09-11,Hot Dogs Vegetalex 100% Vegetal 225 Gr.,,,,$ 8.125,,
2026-09-11,Medallones De Calabaza Avena Y Chia Vegetalex 300g,,,"$6.829,00",,,
2026-09-11,Medallones De Espinaca Vegetalex 300g,,,"$6.829,00",,,
2026-09-11,Medallones De Legumbres Y Quinoa Vegetalex 300g,,,"$6.829,00",,,
2026-09-11,Medallones De Verduras Vegetalex 300g,,,"$6.829,00",,,
2026-09-11,Medallones De Verduras Vegetalex X4 300grs,,"$7.350,00",,,,
2026-09-11,Medallón Calabaza 300 Gr Vegetalex,,,,,"$7.350,00",$7.190
2026-09-11,Medallón Espinaca 300 Gr Vegetalex,,,,,"$7.350,00",$7.190
2026-09-11,Medallón Legumbres 300 Gr Vegetalex,,,,,"$7.350,00",$7.190
2026-09-11,"Medallón Vegetalex Calabaza, Avena y Chía 300 Gr.",,,,$ 4.098,,
2026-09-11,Medallón Vegetalex Espinaca 300 Gr.,,,,$ 7.350,,
2026-09-11,Medallón Verduras 300 Gr Vegetalex,,,,,"$7.350,00",$7.190
2026-09-11,Medallón de calabaza avena y chia Vegetalex en caja 4 uni,"$ 5.121,75",,,,,
2026-09-11,Medallón de espinaca Vegetalex en caja 4 uni,"$ 5.121,75",,,,,
2026-09-11,Medallón de vegetal burguer Vegetalex 2 uni,"$ 7.649,00",,,,,
2026-09-11,Medallón de verduras Vegetalex en caja 4 uni,"$ 5.459,25",,,,,
2026-09-11,Milanesa De Soja Con Espinaca Vegetalex 340 Gr.,,,,$ 3.150,,
2026-09-11,Milanesa Vegetalex Calabaza 340 Gr Vegetalex,,,,,"$5.550,00",$5.390
2026-09-11,Milanesa Vegetalex Cebolla 340 Gr Vegetalex,,,,,"$5.550,00",$5.390
2026-09-11,Milanesa Vegetalex Espinaca 340 Gr Vegetalex,,,,,"$5.550,00",$5.390
2026-09-11,Milanesa Vegetalex Tradicional 340 Gr Vegetalex,,,,,"$5.100,00",$4.800
2026-09-11,Milanesa de Soja Vegetalex Tradicional 340 Gr.,,,,$ 5.110,,
2026-09-11,Milanesa de calabaza Vegetalex 4 uni,"$ 5.619,00",,,,,
2026-09-11,Milanesa de soja Vegetalex 4 uni,"$ 4.750,00",,,,,
2026-09-11,Milanesa de soja y espinaca congelada Vegetalex 4 uni,"$ 5.259,00",,,,,
2026-09-11,Milanesas De Soja Con Calabaza Vegetalex 340g,,,"$5.259,00",,,
2026-09-11,Milanesas De Soja Con Cebolla Vegetalex 340g,,,"$5.329,00",,,
2026-09-11,Milanesas De Soja Con Espinaca Vegetalex 340g,,,"$5.259,00",,,
2026-09-11,Milanesas De Soja Tradicional Vegetalex 340g,,,"$4.789,00",,,
2026-09-11,Nuggets De Origen Vegetal Vegetalex 300g,,,"$7.649,00",,,
2026-09-11,Nuggets Vegetales 300 Grs Vegetalex,,,,,"$8.100,00",$7.690
2026-09-11,Nuggets vegetal Vegetalex 300 g.,"$ 7.649,00",,,,,
2026-09-11,Snack De Arroz Con Chocolate Vegetalex 60g,,,"$2.846,99",,,
2026-09-11,Snack De Arroz Sabor Queso Vegetalex 40g,,,"$1.971,99",,,
2026-09-11,Snack De Arroz Y Quinoa Vegetalex 40g,,,"$1.971,99",,,
