fecha,producto,carrefour,coope,coto,dia,disco,vea
2026-06-22,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,,,"$6.309,00",,,
2026-06-22,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,,,"$5.459,00",,,
2026-06-22,Barra De Proteina Crunchy Chocomani X 35 Grs Notprotein bar,,,,,"$2.000,00",
2026-06-22,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,,,,,"$2.000,00",
2026-06-22,Barra De Proteinan bar Almond Salted X 45 Gr Notprotei,,,,,"$2.450,00","$1.462,5"
2026-06-22,Barra De Proteina bar Berry Pie X 45 Gr Notprotein,,,,,"$2.450,00","$1.462,5"
2026-06-22,Barra De Proteina bar Chocolate X 45 Gr Notprotein,,,,,"$2.450,00","$1.462,5"
2026-06-22,Barra proteica Not Protein almond salted 45 grs,"$ 1.700,00",,,,,
2026-06-22,Barra proteica Not Protein barry pie 45 grs,"$ 1.700,00",,,,,
2026-06-22,Barra proteica Not Protein chocolate 45 grs,"$ 1.700,00",,,,,
2026-06-22,Barra proteica NotProtein Crunchy Chocomani 35 grs,"$ 1.850,00",,,,,
2026-06-22,Barra proteíca Crunchy Chocolemon Notprotein 35 grs,"$ 1.850,00",,,,,
2026-06-22,Barra proteíca Notprotein Crunchy Netflix 35 grs,"$ 1.850,00",,,,,
2026-06-22,Bebida Vegetal Avena X 1 L Not Milk,,,,,"$6.300,00",
2026-06-22,Bebida Vegetal NOT MILK Original X 1 Lt,,,"$5.695,00",,,
2026-06-22,Bebida a base de avena NOT MILK 1L,,,"$5.695,00",,,
2026-06-22,Burger Crispy 2 Un X 100 Gr Not Chicken,,,,,"$6.500,00",
2026-06-22,Carne Vegana Sabor Tradicional Parrillera x 2 Un 220 Grs Notburguer,,,,,"$7.600,00",$7.250
2026-06-22,Chorizo Vegano Congelado x 4 Un 240 Grs Not Chorixo,,,,,"$10.400,00",
2026-06-22,Chorizo a base de planta NotChorixo 240 grs,"$ 7.356,75",,,,,
2026-06-22,Formados Notchicken Spicy Bit Con Salsa Tabasco 250grs,,"$7.582,00",,,,
2026-06-22,Leche de avena Not Milk tetra 1 lt,"$ 3.590,00",,,,,
2026-06-22,Leche plant based Not Milk original tetra 1lt,"$ 3.590,00",,,,,
2026-06-22,Medallon Not chicken burger flow pack x2 80 g.,"$ 3.810,00",,,,,
2026-06-22,Medallon Notchicken Burger 160g (2u),,,"$4.629,00",,,
2026-06-22,Medallon Notchicken Burger Crispy 200g (2u),,,"$5.999,00",,,
2026-06-22,Medallones Notco Not Burger Xl Premium X2 240grs,,"$6.363,00",,,,
2026-06-22,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 240grs,,"$6.765,00",,,,
2026-06-22,Medallones Notco Not Chicken Rellenos Champis X2 120grs,,"$7.981,00",,,,
2026-06-22,Medallones de calabaza Not Burger 2 uni,"$ 4.300,00",,,,,
2026-06-22,Medallones de espinaca Not Burger 2 uni,"$ 4.300,00",,,,,
2026-06-22,Medallón Not burger parrillera 2 uni,"$ 7.099,00",,,,,
2026-06-22,Medallón Not burger premium XL flow pack 2 uni,"$ 8.445,00",,,,,
2026-06-22,Medallón Not burger premium flow pack 2 uni,"$ 5.655,00",,,,,
2026-06-22,Medallón Not burger premium flow pack 4 uni,"$ 10.205,00",,,,,
2026-06-22,Medallón Not burger quick flow pack 2 uni,"$ 2.890,00",,,,,
2026-06-22,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,$ 5.035,,
2026-06-22,Medallón NotBurger Quick NotCo 130 Gr.,,,,$ 3.850,,
2026-06-22,Medallón Notburger Notco 160g (2u),,,"$5.655,00",,,
2026-06-22,Medallón Notburger Notco 320g (4u),,,"$10.205,00",,,
2026-06-22,Medallón Notburger Parrillera Notco 220g (2u),,,"$7.099,00",,,
2026-06-22,Medallón Notburger Quick Notco 130g (2u),,,"$3.509,00",,,
2026-06-22,Medallón Sabor Calabaza x 2 Un 150 Grs NotCo,,,,,"$6.449,29",
2026-06-22,Medallón Sabor Tradicional Carne Vegana x 2 Un 160 Grs Notburguer,,,,,"$6.050,00",$5.900
2026-06-22,Medallón Sabor Tradicional Carne Vegana x 2 Un 240 Grs Notburguer,,,,,"$9.050,00",$8.650
2026-06-22,Medallón Sabor Tradicional Vegano x 4 Un 320 Grs Notburguer,,,,,"$10.950,00",
2026-06-22,Medallón Xl Notburger Notco 240g (2u),,,"$8.445,00",,,
2026-06-22,Medallón crispy Not chicken burger flowpack x2 100 g.,"$ 5.999,00",,,,,
2026-06-22,Medallón de Espinaca Congelado x 2 Un 150 Grs Notburguer,,,,,"$6.449,29",
2026-06-22,Medallón relleno champis NotChicken 240 grs,"$ 5.230,00",,,,,
2026-06-22,Medallón relleno espinaca Not chicken 240 g.,"$ 5.230,00",,,,,
2026-06-22,Mila con provenzal Notmila 110 grs,"$ 3.850,00",,,,,
2026-06-22,Mila con semillas NotMila 110 grs,"$ 5.459,00",,,,,
2026-06-22,Milanesa 110 Gr Notmila,,,,,"$5.250,00",
2026-06-22,Milanesa Not Chicken Mila 110 Gr X 2 U,,,,,"$6.050,00",
2026-06-22,Milanesa Sabor Semillas Congelada x 2 Un 220 Grs Notco,,,,,"$5.850,00",
2026-06-22,Not Burguer Quick 2 U De 65 Gr,,,,,"$3.800,00",
2026-06-22,Not Chicken Burger 2 Un X 80 Gr Not Chicken,,,,,"$4.950,00",
2026-06-22,Not Chicken Crispy The Not Co Rellena Espinaca 240 Gr,,,,,"$6.750,00",
2026-06-22,Not Protein Bar Almond Salted Caramel 45g,,,"$2.250,00",,,
2026-06-22,Not Protein Bar Berry Pie 45g,,,"$2.250,00",,,
2026-06-22,Not Protein Bar Chocolate Brownie 45g,,,"$2.250,00",,,
2026-06-22,Not Protein Bar Crunchy CHOCOLEMON 35g,,,"$1.850,00",,,
2026-06-22,Not Protein Bar Crunchy CHOCOMANI 35g,,,"$1.850,00",,,
2026-06-22,Not Protein Bar Crunchy POPCORN 35g,,,"$1.850,00",,,
2026-06-22,NotChicken Nuggets 300 Gr.,,,,$ 5.560,,
2026-06-22,NotMila Chicken 220 Gr.,,,,$ 4.250,,
2026-06-22,NotMila Meat 220 Gr.,,,,$ 4.960,,
2026-06-22,Notchicken Crispy Rellena Champis 120grs (2u),,,"$6.345,00",,,
2026-06-22,Notchicken Mila Con Semillas 2 Un X 110 Grs Notco,,,,,"$6.750,00",
2026-06-22,Notchicken Nuggets 300g,,,"$7.945,00",,,
2026-06-22,Notchicken Spicybites 250g,,,"$7.609,00",,,
2026-06-22,Notchicken Sticks 300g,,,"$7.945,00",,,
2026-06-22,Notchorixo 240g (4u),,,"$9.809,00",,,
2026-06-22,Notmila Chicken 220g (2u),,,"$5.739,00",,,
2026-06-22,Notmila Crispy Rellena Espinaca 240g (2u),,,"$6.345,00",,,
2026-06-22,Notmila Meat 220g (2u),,,"$4.959,00",,,
2026-06-22,Notmila Notco Con Semillas 220grs,,"$5.648,00",,,,
2026-06-22,Notprotein bar Crunchy Choco-lemon X 35 Grs Notco,,,,,"$2.050,00",
2026-06-22,Nuggets 300 Gr Not Chicken,,,,,"$8.550,00",
2026-06-22,Nuggets Not chicken en bolsa 300 g.,"$ 6.430,00",,,,,
2026-06-22,Nuggets Not chicken sticks 300 g.,"$ 6.430,00",,,,,
2026-06-22,Rebozado Sabor Champis Rellena x 2 Un 240 Grs Not Chicken,,,,,"$6.750,00",
2026-06-22,Salchicha Vegana Precocido x 5 Un 250 Grs Notsalxicha,,,,,"$7.950,00",
2026-06-22,Sticks Sabor Tradicional Carne Vegana x 15 Un 300 Grs Not Chicken,,,,,"$8.600,00",
