fecha,producto,carrefour,coope,coto,dia,disco,vea
2025-12-03,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,,,"$5.685,00",,,
2025-12-03,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,,,"$4.919,00",,,
2025-12-03,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,,,,,$1.950,
2025-12-03,Barra proteica Not Protein almond salted 45 grs,"$ 1.500,00",,,,,
2025-12-03,Barra proteica Not Protein barry pie 45 grs,"$ 1.500,00",,,,,
2025-12-03,Barra proteica Not Protein chocolate 45 grs,"$ 1.500,00",,,,,
2025-12-03,Barra proteica NotProtein crunchy chocomani 35 grs,"$ 1.750,00",,,,,
2025-12-03,Barra proteica Notprotein crunchy netflix 35 grs,"$ 1.750,00",,,,,
2025-12-03,Bebida Vegetal Avena X 1 L Not Milk,,,,,$5.750,
2025-12-03,Bebida Vegetal Original X 1 L Not Milk,,,,,$5.750,$5.300
2025-12-03,Bocadito plant based spicy bites Not Chicken 250 g.,"$ 7.319,00",,,,,
2025-12-03,Bocaditos De Pollo Spicy Bites 250 Gr Not Chicken,,,,,$8.100,
2025-12-03,Burger Crispy 2 Un X 100 Gr Not Chicken,,,,,$6.400,$5.900
2025-12-03,Chicken Crispy Rellena Champis X 240 Gr Not Chicken,,,,,$6.300,
2025-12-03,Chorizo Vegano X 240 Gr Not Chorixo,,,,,$8.900,
2025-12-03,Chorizo a base de planta NotChorixo 240 grs,"$ 8.650,00",,,,,
2025-12-03,Formados Notchicken Spicy Bit Con Salsa Tabasco 250grs,,"$$7.290,00",,,,
2025-12-03,Helado Chocolate Chip NOT ICE CREAM 330 Grm,,,"$8.299,00",,,
2025-12-03,Leche de avena Not Milk tetra 1 lt,"$ 3.640,00",,,,,
2025-12-03,Leche plant based Not Milk original tetra 1lt,"$ 3.640,00",,,,,
2025-12-03,Medallon Not chicken burger flow pack x2 80 g.,"$ 4.455,00",,,,,
2025-12-03,Medallon NotBurger Quick NotCo 130 Gr.,,,,"$ 2.122,25",,
2025-12-03,Medallon Notchicken Burger 160g (2u),,,"$4.454,00",,,
2025-12-03,Medallon Notchicken Burger Crispy 200g (2u),,,"$5.775,00",,,
2025-12-03,Medallones Notco Burger Estilo Parrillera Congelados X2 110grs,,"$$4.819,57",,,,
2025-12-03,Medallones Notco Not Chicken Crispy Rellenas Napolitanas X2 0.24kgs,,"$$6.095,00",,,,
2025-12-03,Medallón Not Burger Premium 320 Gr X 4 Un Not Co,,,,,$10.400,$9.600
2025-12-03,Medallón Not burger premium XL flow pack 2 uni,"$ 7.449,00",,,,,
2025-12-03,Medallón Not burger premium flow pack 2 uni,"$ 3.379,33",,,,,
2025-12-03,Medallón Not burger premium flow pack 4 uni,"$ 9.539,00",,,,,
2025-12-03,Medallón Not burger quick flow pack 2 uni,"$ 2.180,00",,,,,
2025-12-03,Medallón Not chicken rellena flow pack 2 uni,"$ 5.715,00",,,,,
2025-12-03,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,"$ 4.309,50",,
2025-12-03,Medallón Notburger Notco 160g (2u),,,"$5.285,00",,,
2025-12-03,Medallón Notburger Notco 320g (4u),,,"$9.539,00",,,
