fecha,producto,carrefour,coope,coto,dia,disco,vea
2026-08-17,Alfajor Felices Las Vacas de chocolate 60 g.,"$ 1.985,00",,,,,
2026-08-17,Alfajor Felices Las Vacas de maní 60 g.,"$ 2.370,00",,,,,
2026-08-17,Alfajor de chocolate blanco Felices las Vacas 60 grs,"$ 1.969,00",,,,,
2026-08-17,Alfajor de maicena Felices Las Vacas 60 grs,"$ 1.580,00",,,,,
2026-08-17,Alfajor de membrillo Felices las Vacas 60 grs,"$ 1.930,00",,,,,
2026-08-17,Alfajor de pistacho Felices las Vacas 60 grs,"$ 4.489,00",,,,,
2026-08-17,Alim Base Alm Unt Felices Las Vacas F.hierbas 200g,,,,,"$2.600,00",
2026-08-17,Bocadito de coco y datiles Felices las Vacas 22 grs,"$ 1.320,00",,,,,
2026-08-17,Bombón Felices Las Vacas relleno 48 g.,"$ 1.875,00",,,,,
2026-08-17,Cremoso Base De Almendras Felices Las Vacas 500 Gr Felices Las Vacas,,,,,"$8.600,00",
2026-08-17,Cremoso vegano Felices Las Vacas 500 g.,"$ 8.250,00",,,,,
2026-08-17,Dulce de almendras colonial Felices las vacas 250 g.,"$ 3.269,00",,,,,
2026-08-17,Fetas veganas Felices Las Vacas sabor danbo 200 g.,"$ 2.750,00",,,,,
2026-08-17,Granola coco y cacao Felices las Vacas 300 grs,"$ 8.000,00",,,,,
2026-08-17,Granola frutos secos Felices las Vacas 300 grs,"$ 8.000,00",,,,,
2026-08-17,Hummus De Garbanzo Vegano Felices Las Vacas 220grs,,"$2.290,00",,,,
2026-08-17,Hummus vegano Felices Las Vacas 230 g.,"$ 3.560,00",,,,,
2026-08-17,Jogurtti neutro base de almendras 170 g.,"$ 2.249,00",,,,,
2026-08-17,Jogurtti vainilla base de almendras Felices las vacas 170 g.,"$ 2.100,00",,,,,
2026-08-17,Medallón de soja Felices las Vacas big classic 2 uni,"$ 3.379,00",,,,,
2026-08-17,Milanesa a base de arveja Felices las Vacas sabor carne 2 uni,"$ 4.129,00",,,,,
2026-08-17,Muzzalmendra 500 Gr Felices Las Vacas,,,,,"$8.200,00",
2026-08-17,Muzzalmendra vegana Felices Las Vacas 500 g.,"$ 8.050,00",,,,,
2026-08-17,Nuggets de soja Felices las Vacas sabor pollo 300 grs,"$ 5.445,00",,,,,
2026-08-17,Pepas de membirllo Felices las Vacas 300 grs,"$ 3.099,00",,,,,
2026-08-17,Postrecito Felices Las Vacas Sabor Chocolate 125grs,,"$1.969,00",,,,
2026-08-17,Producto Untable A Base De Almendras Felices Las Vacas Clásico 200grs,,"$2.849,00",,,,
2026-08-17,Producto Vegetal Cremoso Felices Las Vacas Cilindro 500grs,,"$7.909,00",,,,
2026-08-17,Queso En Hebras Sabor Mix Vegano Felices Las Vacas 150g,,,,,"$4.200,00",
2026-08-17,Queso Vegano Cheddar En Fetas Felices Las Vacas 150g,,,"$2.885,00",,,
2026-08-17,Queso Vegano Danbo En Fetas Felices Las Vacas 150g,,,"$2.885,00",,,
2026-08-17,Queso Vegano En Hebras Mix De Quesos Felices Las Vacas 150g,,,"$3.925,00",,,
2026-08-17,Queso Vegano En Hebras Reggianito Felices Las Vacas 150g,,,"$3.925,00",,,
2026-08-17,Queso Vegano FELICES LAS VACAS Cremoso Felices 500 Gr,,,"$7.849,00",,,
2026-08-17,Queso Vegano FELICES LAS VACAS Mozzarella 500 Gr,,,"$7.511,00",,,
2026-08-17,Queso Vegano FELICES LAS VACAS Provolone 250 Gr,,,"$5.939,00",,,
2026-08-17,Queso Vegano Muzzoliva Felices Las Vacas 500g,,,"$9.349,00",,,
2026-08-17,Queso cheddar en fetas Felices las Vacas 150 g.,"$ 2.750,00",,,,,
2026-08-17,Queso de almendra con oliva muzzoliva Felices las Vacas 500 grs,"$ 10.190,00",,,,,
2026-08-17,Tofu Felices las Vacas 350g,,,"$9.799,00",,,
2026-08-17,Untabla clásico cremoso Felices las vacas 200 g.,"$ 2.955,00",,,,,
2026-08-17,Untable A Base De Almendras Felices Las Vacas Sabor Dulce De Leche 250grs,,"$2.716,00",,,,
2026-08-17,Untable fantastique finas hierbas Felices las vacas 200 g.,"$ 3.365,00",,,,,
