fecha,producto,carrefour,coope,coto,dia,disco,vea
2026-03-15,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,,,"$5.685,00",,,
2026-03-15,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,,,"$4.919,00",,,
2026-03-15,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,,,,,$2.000,
2026-03-15,Barra proteica Crunchy chocolemon notprotein 35 grs,"$ 1.206,67",,,,,
2026-03-15,Barra proteica Not Protein almond salted 45 grs,"$ 2.250,00",,,,,
2026-03-15,Barra proteica Not Protein barry pie 45 grs,"$ 2.250,00",,,,,
2026-03-15,Barra proteica Not Protein chocolate 45 grs,"$ 2.250,00",,,,,
2026-03-15,Barra proteica NotProtein crunchy chocomani 35 grs,"$ 1.206,67",,,,,
2026-03-15,Barra proteica Notprotein crunchy netflix 35 grs,"$ 1.206,67",,,,,
2026-03-15,Bebida Vegetal Avena X 1 L Not Milk,,,,,$4.095,
2026-03-15,Bocaditos De Pollo Spicy Bites 250 Gr Not Chicken,,,,,$5.265,
2026-03-15,Burger Crispy 2 Un X 100 Gr Not Chicken,,,,,$4.160,$5.900
2026-03-15,Chorizo a base de planta NotChorixo 240 grs,"$ 6.749,25",,,,,
2026-03-15,Formados Notchicken Spicy Bit Con Salsa Tabasco 250grs,,"$$7.582,00",,,,
2026-03-15,Leche de avena Not Milk tetra 1 lt,"$ 6.100,00",,,,,
2026-03-15,Leche plant based Not Milk original tetra 1lt,"$ 5.695,00",,,,,
2026-03-15,Medallon Not chicken burger flow pack x2 80 g.,"$ 4.455,00",,,,,
2026-03-15,Medallon NotBurger Quick NotCo 130 Gr.,,,,$ 2.275,,
2026-03-15,Medallon Notchicken Burger 160g (2u),,,"$4.454,00",,,
2026-03-15,Medallon Notchicken Burger Crispy 200g (2u),,,"$5.775,00",,,
2026-03-15,Medallones Notco Not Burger Premium X4 320grs,,"$$7.185,50",,,,
2026-03-15,Medallones Notco Not Burger X2 160grs,,"$$3.985,10",,,,
2026-03-15,Medallones Notco Not Burger Xl Premium X2 240grs,,"$$5.938,80",,,,
2026-03-15,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 240grs,,"$$6.765,00",,,,
2026-03-15,Medallones Notco Not Chicken Rellenos Champis X2 120grs,,"$$7.981,00",,,,
2026-03-15,Medallón Not Burger Premium 320 Gr X 4 Un Not Co,,,,,$10.150,
2026-03-15,Medallón Not burger parrillera 2 uni,"$ 4.406,00",,,,,
2026-03-15,Medallón Not burger premium XL flow pack 2 uni,"$ 7.749,00",,,,,
2026-03-15,Medallón Not burger premium flow pack 2 uni,"$ 5.285,00",,,,,
2026-03-15,Medallón Not burger premium flow pack 4 uni,"$ 6.332,67",,,,,
2026-03-15,Medallón Not burger quick flow pack 2 uni,"$ 3.270,00",,,,,
2026-03-15,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,$ 4.615,,
2026-03-15,Medallón Notburger Notco 160g (2u),,,"$5.285,00",,,
2026-03-15,Medallón Notburger Notco 320g (4u),,,"$9.539,00",,,
2026-03-15,Medallón Notburger Parrillera Notco 220g (2u),,,"$6.639,00",,,
2026-03-15,Medallón Notburger Quick Notco 130g (2u),,,"$3.274,00",,,
2026-03-15,Medallón The Not Co Premium Not Burger 160 Gr X 2 U,,,,,$6.100,
