fecha,producto,carrefour,coope,coto,dia,disco,vea
2026-04-04,Alim Base Alm Unt Felices Las Vacas F.hierbas 200g,,,,,$2.600,
2026-04-04,Alimento A Base De Almendra Untable Tradicional 200 Gr Felices Las Vacas,,,,,$3.450,
2026-04-04,Cremoso Base De Almendras Felices Las Vacas 500 Gr Felices Las Vacas,,,,,$8.600,
2026-04-04,Hummus De Garbanzo Vegano Felices Las Vacas 220grs,,"$$2.290,00",,,,
2026-04-04,Muzzalmendra 500 Gr Felices Las Vacas,,,,,$8.200,
2026-04-04,Postrecito Felices Las Vacas Sabor Dulce De Leche 125grs,,"$$1.569,00",,,,
2026-04-04,Postrecito Sabor Dulce De Leche Vegano Felices Las Vacas,,,,,$2.000,
2026-04-04,Producto Untable A Base De Almendras Felices Las Vacas Sabor Cheddar 200grs,,"$$2.590,00",,,,
2026-04-04,Producto Vegetal Cremoso Felices Las Vacas Cilindro 500grs,,"$$7.190,00",,,,
2026-04-04,Queso En Hebras Sabor Mix Vegano Felices Las Vacas 150g,,,,,$4.200,
2026-04-04,Untable A Base De Almendras Felices Las Vacas Sabor Dulce De Leche 250grs,,"$$2.469,00",,,,
2026-04-04,Yogurt Sabor Natural Vegano Felices Las Vacas 170g,,,,,$2.300,
