fecha,producto,carrefour,coope,coto,dia,disco,vea
2025-12-25,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,,,"$5.685,00",,,
2025-12-25,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,,,"$4.919,00",,,
2025-12-25,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,,,,,$1.950,
2025-12-25,Barra proteica Not Protein almond salted 45 grs,"$ 1.363,33",,,,,
2025-12-25,Barra proteica Not Protein barry pie 45 grs,"$ 1.363,33",,,,,
2025-12-25,Barra proteica Not Protein chocolate 45 grs,"$ 1.363,33",,,,,
2025-12-25,Barra proteica NotProtein crunchy chocomani 35 grs,"$ 1.750,00",,,,,
2025-12-25,Barra proteica Notprotein crunchy netflix 35 grs,"$ 1.750,00",,,,,
2025-12-25,Bebida Vegetal Avena X 1 L Not Milk,,,,,$5.750,
2025-12-25,Bebida Vegetal Original X 1 L Not Milk,,,,,$5.750,$5.300
2025-12-25,Bocadito plant based spicy bites Not Chicken 250 g.,"$ 7.319,00",,,,,
2025-12-25,Burger Crispy 2 Un X 100 Gr Not Chicken,,,,,,$5.900
2025-12-25,Chicken Crispy Rellena Champis X 240 Gr Not Chicken,,,,,$6.300,
2025-12-25,Chorizo a base de planta NotChorixo 240 grs,"$ 8.650,00",,,,,
2025-12-25,Formados Notchicken Spicy Bit Con Salsa Tabasco 250grs,,"$$7.290,00",,,,
2025-12-25,Helado Vegetal Cookies Y Cream Not Ice 330g,,,"$8.299,00",,,
2025-12-25,Leche plant based Not Milk original tetra 1lt,"$ 3.640,00",,,,,
2025-12-25,Medallon Not chicken burger flow pack x2 80 g.,"$ 4.455,00",,,,,
2025-12-25,Medallon NotBurger Quick NotCo 130 Gr.,,,,$ 2.289,,
2025-12-25,Medallon Notchicken Burger 160g (2u),,,"$4.454,00",,,
2025-12-25,Medallon Notchicken Burger Crispy 200g (2u),,,"$3.753,75",,,
2025-12-25,Medallones Notco Not Chicken Crispy Rellenas Napolitanas X2 0.24kgs,,"$$6.095,00",,,,
2025-12-25,Medallón Not Burger Premium 320 Gr X 4 Un Not Co,,,,,,$9.600
2025-12-25,Medallón Not burger parrillera 2 uni,"$ 6.609,00",,,,,
2025-12-25,Medallón Not burger premium XL flow pack 2 uni,"$ 7.449,00",,,,,
2025-12-25,Medallón Not burger premium flow pack 2 uni,"$ 3.294,85",,,,,
2025-12-25,Medallón Not burger premium flow pack 4 uni,"$ 9.539,00",,,,,
2025-12-25,Medallón Not burger quick flow pack 2 uni,"$ 2.125,50",,,,,
2025-12-25,Medallón Not chicken rellena flow pack 2 uni,"$ 5.715,00",,,,,
2025-12-25,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,$ 4.641,,
2025-12-25,Medallón Notburger Notco 160g (2u),,,"$5.285,00",,,
2025-12-25,Medallón Notburger Notco 320g (4u),,,"$9.539,00",,,
2025-12-25,Medallón Notburger Parrillera Notco 220g (2u),,,"$6.639,00",,,
2025-12-25,Medallón Notburger Quick Notco 130g (2u),,,"$3.274,00",,,
2025-12-25,Medallón The Not Co Premium Not Burger 160 Gr X 2 U,,,,,$5.850,$5.400
2025-12-25,Medallón The Not Co Premium Not Burger 240 Gr X 2 U,,,,,$8.750,$8.100
2025-12-25,Medallón Xl Notburger Notco 240g (2u),,,"$7.895,00",,,
2025-12-25,Medallón crispy Not chicken burger flowpack x2 100 g.,"$ 3.753,75",,,,,
2025-12-25,Medallón relleno champis NotChicken 240 grs,"$ 5.715,00",,,,,
2025-12-25,Medallón relleno espinaca Not chicken 240 g.,"$ 5.710,00",,,,,
2025-12-25,Mila con provenzal Notmila 110 grs,"$ 2.891,85",,,,,
2025-12-25,Mila con semillas NotChicken 110 grs,"$ 5.685,00",,,,,
2025-12-25,Mila con semillas NotMila 110 grs,"$ 4.919,00",,,,,
2025-12-25,Milanesa Not Chicken Mila 110 Gr X 2 U,,,,,$5.650,$5.200
2025-12-25,Milanesas Notco Not Mila X2 220grs,,"$$4.537,00",,,,
2025-12-25,Not Burguer Quick 2 U De 65 Gr,,,,,$3.600,
2025-12-25,Not Chicken Burger 2 Un X 80 Gr Not Chicken,,,,,$5.000,$4.600
2025-12-25,Not Chicken Crispy The Not Co Rellena Espinaca 240 Gr,,,,,,$5.800
2025-12-25,NotChicken Nuggets 300 Gr.,,,,$ 5.341,,
2025-12-25,NotChickenMila 2.0 220 g.,"$ 5.159,00",,,,,
2025-12-25,NotMila Chicken 220 Gr.,,,,"$ 3.608,50",,
2025-12-25,NotMila Crispy Rellena Espinaca 240 Gr.,,,,$ 3.997,,
2025-12-25,NotMila Meat 220 Gr.,,,,$ 3.122,,
2025-12-25,Notburger The Not Co Parrillera 110 Gr,,,,,$7.350,
2025-12-25,Notchicken Burger X2 160grs,,"$$4.503,00",,,,
2025-12-25,Notchicken Crispy Rellena Champis 120grs (2u),,,"$5.715,00",,,
2025-12-25,Notchicken Mila Notco Con Semillas 220grs,,"$$5.600,00",,,,
2025-12-25,Notchicken Nuggets 300g,,,"$7.639,00",,,
2025-12-25,Notchicken Spicybites 250g,,,"$7.319,00",,,
2025-12-25,Notchicken Sticks 300g,,,"$7.639,00",,,
2025-12-25,Notchorixo 240g (4u),,,"$8.999,00",,,
2025-12-25,Notebook Gad-C3 Gadnic 141 I3 8GB DDR4 sodimm 512 GB SSD,"$ 612.949,00",,,,,
2025-12-25,Notebook Gadnic 14 Pulgadas Intel Celeron N4020 RAM 4GB SSD 128GB Cámara Frontal,"$ 341.799,00",,,,,
2025-12-25,Notebook Gadnic 14 Pulgadas Intel Core I3-1215U 8GB RAM 512GB SSD Alderlake,"$ 554.399,00",,,,,
2025-12-25,Notebook Lenovo V15 G2 intel core I7 Ram 8Gb SSD 256GB FreeDOS 15.6,"$ 1.642.449,00",,,,,
2025-12-25,"Notebook Samsung Galaxy Book 3 15,6"" i3 8gb Ram 256gb 120hz Silver","$ 1.022.199,00",,,,,
2025-12-25,Notmila Chicken 220g (2u),,,"$5.169,00",,,
2025-12-25,Notmila Crispy Rellena Espinaca 240g (2u),,,"$5.715,00",,,
2025-12-25,Notmila Crispy Rellena Napolitana 240g (2u),,,"$5.715,00",,,
2025-12-25,Notmila Meat 220g (2u),,,"$4.469,00",,,
2025-12-25,Nuggets 300 Gr Not Chicken,,,,,$8.450,
2025-12-25,Nuggets Not chicken en bolsa 300 g.,"$ 7.630,00",,,,,
2025-12-25,Nuggets Not chicken sticks 300 g.,"$ 7.269,00",,,,,
2025-12-25,Paletas Heladas De Chocolate Blanco Not Icecream 4 X 240 Gr,,,"$9.105,00",,,
2025-12-25,Salchicha de planta Not Salxicha 5 uni,"$ 4.289,25",,,,,
2025-12-25,Sticks 300 Gr Not Chicken,,,,,$8.350,$7.700
