fecha,producto,carrefour,coope,coto,dia,disco,vea
2026-03-08,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,,,"$5.685,00",,,
2026-03-08,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,,,"$4.919,00",,,
2026-03-08,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,,,,,"$1.333,33",
2026-03-08,Barra proteica Crunchy chocolemon notprotein 35 grs,"$ 1.850,00",,,,,
2026-03-08,Barra proteica Not Protein almond salted 45 grs,"$ 1.406,67",,,,,
2026-03-08,Barra proteica Not Protein barry pie 45 grs,"$ 1.406,67",,,,,
2026-03-08,Barra proteica Not Protein chocolate 45 grs,"$ 1.406,67",,,,,
2026-03-08,Barra proteica NotProtein crunchy chocomani 35 grs,"$ 1.850,00",,,,,
2026-03-08,Barra proteica Notprotein crunchy netflix 35 grs,"$ 1.850,00",,,,,
2026-03-08,Bebida Vegetal Avena X 1 L Not Milk,,,,,$4.725,
2026-03-08,Bocaditos De Pollo Spicy Bites 250 Gr Not Chicken,,,,,$8.100,
2026-03-08,Burger Crispy 2 Un X 100 Gr Not Chicken,,,,,$6.400,$5.900
2026-03-08,Chorizo Vegano X 240 Gr Not Chorixo,,,,,$9.850,
2026-03-08,Chorizo a base de planta NotChorixo 240 grs,"$ 6.749,25",,,,,
2026-03-08,Formados Notchicken Spicy Bit Con Salsa Tabasco 250grs,,"$$4.928,30",,,,
2026-03-08,Leche de avena Not Milk tetra 1 lt,"$ 3.965,00",,,,,
2026-03-08,Leche plant based Not Milk original tetra 1lt,"$ 3.701,75",,,,,
2026-03-08,Medallon Not chicken burger flow pack x2 80 g.,"$ 4.455,00",,,,,
2026-03-08,Medallon NotBurger Quick NotCo 130 Gr.,,,,$ 3.265,,
2026-03-08,Medallon Notchicken Burger 160g (2u),,,"$4.454,00",,,
2026-03-08,Medallon Notchicken Burger Crispy 200g (2u),,,"$5.775,00",,,
2026-03-08,Medallones Notco Not Burger Premium X4 320grs,,"$$10.265,00",,,,
2026-03-08,Medallones Notco Not Burger X2 160grs,,"$$5.693,00",,,,
2026-03-08,Medallones Notco Not Burger Xl Premium X2 240grs,,"$$8.484,00",,,,
2026-03-08,Medallones Notco Not Chicken Crispy Rellenas Napolitanas X2 0.24kgs,,"$$4.397,25",,,,
2026-03-08,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 240grs,,"$$4.397,25",,,,
2026-03-08,Medallones Notco Not Chicken Rellenos Champis X2 120grs,,"$$5.187,65",,,,
2026-03-08,Medallones Notco Notburger Quick Sabor Carne X2 130grs,,"$$3.686,00",,,,
2026-03-08,Medallón Not Burger Premium 320 Gr X 4 Un Not Co,,,,,"$6.597,5",$6.110
2026-03-08,Medallón Not burger parrillera 2 uni,"$ 6.609,00",,,,,
2026-03-08,Medallón Not burger premium XL flow pack 2 uni,"$ 7.895,00",,,,,
2026-03-08,Medallón Not burger premium flow pack 2 uni,"$ 3.523,33",,,,,
2026-03-08,Medallón Not burger premium flow pack 4 uni,"$ 9.539,00",,,,,
2026-03-08,Medallón Not burger quick flow pack 2 uni,"$ 2.180,00",,,,,
2026-03-08,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,$ 6.600,,
2026-03-08,Medallón Notburger Notco 160g (2u),,,"$5.285,00",,,
2026-03-08,Medallón Notburger Notco 320g (4u),,,"$9.539,00",,,
2026-03-08,Medallón Notburger Parrillera Notco 220g (2u),,,"$6.639,00",,,
2026-03-08,Medallón Notburger Quick Notco 130g (2u),,,"$3.274,00",,,
2026-03-08,Medallón The Not Co Premium Not Burger 160 Gr X 2 U,,,,,$3.965,$3.835
2026-03-08,Medallón The Not Co Premium Not Burger 240 Gr X 2 U,,,,,"$5.687,5","$5.557,5"
2026-03-08,Medallón Xl Notburger Notco 240g (2u),,,"$7.895,00",,,
2026-03-08,Medallón crispy Not chicken burger flowpack x2 100 g.,"$ 3.850,00",,,,,
2026-03-08,Medallón relleno champis NotChicken 240 grs,"$ 5.715,00",,,,,
2026-03-08,Medallón relleno espinaca Not chicken 240 g.,"$ 5.710,00",,,,,
2026-03-08,Mila con provenzal Notmila 110 grs,"$ 2.826,00",,,,,
2026-03-08,Mila con semillas NotChicken 110 grs,"$ 6.309,00",,,,,
2026-03-08,Mila con semillas NotMila 110 grs,"$ 5.459,00",,,,,
2026-03-08,Milanesa Not Chicken Mila 110 Gr X 2 U,,,,,$3.575,"$3.477,5"
2026-03-08,Milanesas Notco Not Chicken Mila X2 220grs,,"$$5.753,00",,,,
2026-03-08,Milanesas Notco Not Mila X2 220grs,,"$$5.036,00",,,,
2026-03-08,Not Burguer Quick 2 U De 65 Gr,,,,,$2.340,
2026-03-08,Not Chicken Burger 2 Un X 80 Gr Not Chicken,,,,,$4.850,$4.600
2026-03-08,Not Chicken Crispy The Not Co Rellena Espinaca 240 Gr,,,,,$6.300,$5.950
2026-03-08,NotChicken Nuggets 300 Gr.,,,,$ 7.630,,
2026-03-08,NotChickenMila 2.0 220 g.,"$ 3.279,33",,,,,
2026-03-08,NotMila Chicken 220 Gr.,,,,$ 5.155,,
2026-03-08,NotMila Crispy Rellena Espinaca 240 Gr.,,,,$ 5.930,,
2026-03-08,NotMila Meat 220 Gr.,,,,$ 2.990,,
2026-03-08,Notburger The Not Co Parrillera 110 Gr,,,,,$4.680,$4.420
2026-03-08,Notchicken Burger Crispy X2 200grs,,"$$3.887,65",,,,
2026-03-08,Notchicken Burger X2 160grs,,"$$3.043,95",,,,
2026-03-08,Notchicken Crispy Rellena Champis 120grs (2u),,,"$5.715,00",,,
2026-03-08,Notchicken Mila Notco Con Semillas 220grs,,"$$5.600,00",,,,
2026-03-08,Notchicken Nuggets 300g,,,"$7.639,00",,,
2026-03-08,Notchicken Spicybites 250g,,,"$7.319,00",,,
2026-03-08,Notchicken Sticks 300g,,,"$7.639,00",,,
2026-03-08,Notchorixo 240g (4u),,,"$8.999,00",,,
2026-03-08,Notco Not Chorixo X4 240grs,,"$$6.958,70",,,,
2026-03-08,Notebook Gadnic 14 Pulgadas Intel Celeron N4020 RAM 4GB SSD 128GB Cámara Frontal,"$ 389.999,00",,,,,
2026-03-08,"Notebook Samsung Galaxy Book 3 15,6"" i3 8gb Ram 256gb 120hz Silver","$ 940.049,00",,,,,
2026-03-08,Notmila Chicken 220g (2u),,,"$5.169,00",,,
2026-03-08,Notmila Crispy Rellena Espinaca 240g (2u),,,"$5.715,00",,,
2026-03-08,Notmila Crispy Rellena Napolitana 240g (2u),,,"$5.715,00",,,
2026-03-08,Notmila Meat 220g (2u),,,"$4.469,00",,,
2026-03-08,Notmila Notco Con Semillas 220grs,,"$$5.648,00",,,,
2026-03-08,Nuggets 300 Gr Not Chicken,,,,,$8.150,$7.800
2026-03-08,Nuggets Not chicken en bolsa 300 g.,"$ 7.630,00",,,,,
2026-03-08,Nuggets Not chicken sticks 300 g.,"$ 7.639,00",,,,,
2026-03-08,Nuggets Notchicken Notco 0.3kgs,,"$$5.216,90",,,,
2026-03-08,Nuggets Notco Not Chicken Sticks Con Hierbas Congelados 300grs,,"$$5.216,90",,,,
2026-03-08,Resaltador Sharpie S.Note Colores Varios,,"$$3.607,80",,,,
2026-03-08,Salchicha de planta Not Salxicha 5 uni,"$ 3.717,35",,,,,
2026-03-08,Sticks 300 Gr Not Chicken,,,,,$8.150,$7.950
