fecha,producto,carrefour,coope,coto,dia,disco,vea
2025-10-08,Barra proteica Not Protein almond salted 45 grs,"$ 1.949,00",,,,,
2025-10-08,Barra proteica Not Protein barry pie 45 grs,"$ 1.949,00",,,,,
2025-10-08,Barra proteica Not Protein chocolate 45 grs,"$ 1.949,00",,,,,
2025-10-08,Barra proteica NotProtein crunchy chocomani 35 grs,"$ 1.750,00",,,,,
2025-10-08,Barra proteica Notprotein crunchy netflix 35 grs,"$ 1.750,00",,,,,
2025-10-08,Burger Crispy 2 Un X 100 Gr Not Chicken,,,,,$6.400,$5.900
2025-10-08,Chicken Crispy Rellena Champis X 240 Gr Not Chicken,,,,,$6.300,
2025-10-08,Chorizo Vegano X 240 Gr Not Chorixo,,,,,$8.900,
2025-10-08,Chorizo a base de planta NotChorixo 240 grs,"$ 6.487,50",,,,,
2025-10-08,Formados Notchicken Spicy Bit Con Salsa Tabasco 250grs,,"$$4.907,00",,,,
2025-10-08,Helado Chocolate Chip NOT ICE CREAM 330 Grm,,,"$8.300,00",,,
2025-10-08,Helado Chocolate Chips 100 Gr Not Icecream,,,,,,$2.800
2025-10-08,Helado Chocolate Chips 330 Gr Not Icecream,,,,,,$8.400
2025-10-08,Helado Cookies And Cream 330 Gr Not Icecream,,,,,,$8.400
2025-10-08,Helado Not ice cream chocolate chips pote 100 g.,"$ 2.785,00",,,,,
2025-10-08,Helado Vegetal Cookies Y Cream Not Ice 330g,,,"$8.300,00",,,
2025-10-08,Helado Vegetal Super Dulce De Leche Not Ice Cream 330g,,,"$8.300,00",,,
2025-10-08,Helado de chocolate chips NotIceCream® 330 g.,"$ 8.300,00",,,,,
2025-10-08,Helado de frutillas con crema NotIceCream® 330 g.,"$ 8.300,00",,,,,
2025-10-08,Medallon Not chicken burger flow pack x2 80 g.,"$ 2.852,67",,,,,
2025-10-08,Medallon NotBurger Quick NotCo 130 Gr.,,,,$ 3.121,,
