fecha,producto,carrefour,coope,coto,dia,disco,vea
2026-05-01,Barra proteica Crunchy chocolemon notprotein 35 grs,"$ 1.850,00",,,,,
2026-05-01,Barra proteica Not Protein almond salted 45 grs,"$ 2.250,00",,,,,
2026-05-01,Barra proteica Not Protein barry pie 45 grs,"$ 2.250,00",,,,,
2026-05-01,Barra proteica Not Protein chocolate 45 grs,"$ 2.250,00",,,,,
2026-05-01,Barra proteica NotProtein crunchy chocomani 35 grs,"$ 1.850,00",,,,,
2026-05-01,Barra proteica Notprotein crunchy netflix 35 grs,"$ 1.850,00",,,,,
2026-05-01,Bebida Vegetal Avena X 1 L Not Milk,,,,,$6.300,
2026-05-01,Body Splash Go To Be Chill Not Boring 250 ml,"$ 18.599,00",,,,,
2026-05-01,Burger Crispy 2 Un X 100 Gr Not Chicken,,,,,$4.160,"$3.932,5"
2026-05-01,Chorizo Vegano Congelado x 4 Un 240 Grs Not Chorixo,,,,,$10.400,
2026-05-01,Chorizo a base de planta NotChorixo 240 grs,"$ 7.356,75",,,,,
2026-05-01,Crema corporal Go To Be Chill Not Boring 340 ml,"$ 9.865,00",,,,,
2026-05-01,Crema corporal Go To Be manteca de karité Chill Not Boring 240 ml,"$ 15.329,00",,,,,
2026-05-01,Formados Notchicken Spicy Bit Con Salsa Tabasco 250grs,,"$$7.582,00",,,,
2026-05-01,Leche de avena Not Milk tetra 1 lt,"$ 5.695,00",,,,,
2026-05-01,Leche plant based Not Milk original tetra 1lt,"$ 5.695,00",,,,,
2026-05-01,Medallon Not chicken burger flow pack x2 80 g.,"$ 4.629,00",,,,,
2026-05-01,Medallon NotBurger Quick NotCo 130 Gr.,,,,$ 2.275,,
2026-05-01,Medallones Notco Not Burger X2 160grs,,"$$5.693,00",,,,
2026-05-01,Medallones Notco Not Burger Xl Premium X2 240grs,,"$$8.484,00",,,,
2026-05-01,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 240grs,,"$$6.765,00",,,,
2026-05-01,Medallones Notco Not Chicken Rellenos Champis X2 120grs,,"$$7.981,00",,,,
2026-05-01,Medallón Not burger parrillera 2 uni,"$ 7.099,00",,,,,
2026-05-01,Medallón Not burger premium XL flow pack 2 uni,"$ 8.445,00",,,,,
2026-05-01,Medallón Not burger premium flow pack 2 uni,"$ 5.655,00",,,,,
2026-05-01,Medallón Not burger premium flow pack 4 uni,"$ 10.205,00",,,,,
2026-05-01,Medallón Not burger quick flow pack 2 uni,"$ 3.500,00",,,,,
2026-05-01,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,$ 4.615,,
2026-05-01,Medallón crispy Not chicken burger flowpack x2 100 g.,"$ 5.999,00",,,,,
2026-05-01,Medallón relleno champis NotChicken 240 grs,"$ 6.345,00",,,,,
2026-05-01,Medallón relleno espinaca Not chicken 240 g.,"$ 6.345,00",,,,,
2026-05-01,Mila con provenzal Notmila 110 grs,"$ 4.900,00",,,,,
2026-05-01,Mila con semillas NotChicken 110 grs,"$ 6.309,00",,,,,
2026-05-01,Mila con semillas NotMila 110 grs,"$ 5.459,00",,,,,
2026-05-01,Milanesa Not Chicken Mila 110 Gr X 2 U,,,,,$5.750,
2026-05-01,Milanesas Notco Not Chicken Mila X2 220grs,,"$$5.753,00",,,,
2026-05-01,Milanesas Notco Not Mila X2 220grs,,"$$5.036,00",,,,
2026-05-01,Not Burguer Quick 2 U De 65 Gr,,,,,$3.700,
2026-05-01,Not Chicken Burger 2 Un X 80 Gr Not Chicken,,,,,$3.185,"$3.022,5"
2026-05-01,Not Chicken Crispy The Not Co Rellena Espinaca 240 Gr,,,,,"$4.387,5","$4.127,5"
2026-05-01,NotChicken Nuggets 300 Gr.,,,,"$ 5.164,25",,
2026-05-01,NotChickenMila 2.0 220 g.,"$ 5.739,00",,,,,
2026-05-01,NotMila Chicken 220 Gr.,,,,$ 3.731,,
2026-05-01,NotMila Meat 220 Gr.,,,,$ 3.224,,
2026-05-01,Notchicken Burger Crispy X2 200grs,,"$$5.981,00",,,,
2026-05-01,Notebook Gadnic 14 Pulgadas Intel Celeron N4500 RAM 4GB SSD 128GB Cámara Frontal Con Soporte,"$ 323.649,00",,,,,
2026-05-01,"Notebook Samsung Galaxy Book 3 15,6"" i3 8gb Ram 256gb 120hz Silver","$ 1.141.349,00",,,,,
2026-05-01,Notebook Samsung Galaxy Book4 15 6 Intel® Core™ i3 RAM 8 GB,"$ 1.553.899,00",,,,,
2026-05-01,Notebook Samsung Galaxy Book4 15 6 Intel® Core™ i5 RAM 16 GB,"$ 1.832.099,00",,,,,
2026-05-01,Notebook Samsung Galaxy Book4 15 6 Intel® Core™ i7 RAM 16 GB,"$ 2.341.549,00",,,,,
2026-05-01,Notmila Notco Con Semillas 220grs,,"$$5.648,00",,,,
2026-05-01,Nuggets Not chicken en bolsa 300 g.,"$ 7.945,00",,,,,
2026-05-01,Nuggets Not chicken sticks 300 g.,"$ 7.945,00",,,,,
2026-05-01,Nuggets Notchicken Notco 0.3kgs,,"$$8.026,00",,,,
2026-05-01,Nuggets Notco Not Chicken Sticks Con Hierbas Congelados 300grs,,"$$8.026,00",,,,
2026-05-01,Nuggets Sabor Tradicional Vegano x 15 Un 300 Grs Not Chicken,,,,,$5.395,$5.070
2026-05-01,Rebozado Sabor Champis Rellena x 2 Un 240 Grs Not Chicken,,,,,"$4.387,5",
2026-05-01,Resaltador Sharpie S.Note Colores Varios,,"$$5.154,00",,,,
2026-05-01,Salchicha de planta Not Salxicha 5 uni,"$ 7.475,00",,,,,
2026-05-01,Set Chill Not Boring Go To Be body splash + crema corporal + shower gel,"$ 38.375,00",,,,,
2026-05-01,Sticks Sabor Tradicional Carne Vegana x 15 Un 300 Grs Not Chicken,,,,,$5.590,
