fecha,producto,carrefour,coope,coto,dia,disco,vea
2025-07-24,Alimento A Base De Plantas Bastoncitos Not Cheese 300g,,,"$6.820,00",,,
2025-07-24,Alimento A Base De Plantas Not Chicken Mila 220g,,,"$4.879,00",,,
2025-07-24,Alimento A Base De Plantas Not Chorixo 240g,,,"$7.500,00",,,
2025-07-24,Alimento A Base De Plantas Not Mila 220g,,,"$4.219,00",,,
2025-07-24,Alimento A Base De Plantas Nuggets Not Chiken 300g,,,"$7.349,00",,,
2025-07-24,Alimento A Base De Plantas Picada Not Meat 400g,,,"$7.174,00",,,
2025-07-24,Alimento A Base De Plantas Relleno Champis Not Chicken 240g,,,"$5.089,00",,,
2025-07-24,Alimento A Base De Plantas Relleno De Espinaca Not Chiken 240g,,,"$5.395,00",,,
2025-07-24,Alimento A Base De Plantas Relleno Napolitana Not Chiken 240g,,,"$5.395,00",,,
2025-07-24,Alimento A Base De Plantas Spicy Not Chicken 250g,,,"$7.039,00",,,
2025-07-24,Alimento plant based dambo Not Cheese 140 g.,"$ 5.450,00",,,,,
2025-07-24,Barra proteica Not Protein almond salted 45 grs,"$ 1.949,00",,,,,
2025-07-24,Barra proteica Not Protein barry pie 45 grs,"$ 1.949,00",,,,,
2025-07-24,Barra proteica Not Protein chocolate 45 grs,"$ 1.949,00",,,,,
2025-07-24,Barra proteica NotProtein crunchy chocomani 35 grs,"$ 1.750,00",,,,,
2025-07-24,Barra proteica Notprotein crunchy netflix 35 grs,"$ 1.750,00",,,,,
2025-07-24,Bastoncitos Not Cheese 300 Gr,,,,,$7.500,
2025-07-24,Bastoncitos Not cheese en bolsa 300 g.,"$ 6.819,00",,,,,
2025-07-24,Bocadito plant based spicy bites Not Chicken 250 g.,"$ 4.223,40",,,,,
2025-07-24,Bocaditos De Pollo Spicy Bites 250 Gr Not Chicken,,,,,$7.800,
2025-07-24,Burger Crispy 2 Un X 100 Gr Not Chicken,,,,,$6.200,$5.700
2025-07-24,Chicken Crispy Rellena Champis X 240 Gr Not Chicken,,,,,$3.390,
2025-07-24,Chorizo Vegano X 240 Gr Not Chorixo,,,,,$8.100,
2025-07-24,Chorizo a base de planta NotChorixo 240 grs,"$ 7.900,00",,,,,
2025-07-24,Crocantes Con Hierbas Not Chiken 300 Grm,,,"$7.349,00",,,
2025-07-24,Formados Notchicken Spicy Bit Con Salsa Tabasco 250grs,,"$$7.010,00",,,,
2025-07-24,Helado Chocolate Chip NOT ICE CREAM 330 Grm,,,"$8.300,00",,,
2025-07-24,Helado Chocolate Chips 100 Gr Not Icecream,,,,,$3.050,$2.800
2025-07-24,Helado Chocolate Chips 330 Gr Not Icecream,,,,,,$8.400
2025-07-24,Helado Cookies And Cream 330 Gr Not Icecream,,,,,,$8.400
2025-07-24,Helado Crema Americana Pack 300 Gr Not Ice Cream Not Co,,,,,$10.400,
2025-07-24,Helado Frutillas Con Crema 330 Gr Not Icecream,,,,,,$8.400
2025-07-24,Helado Not ice cookes cream 330 g.,"$ 5.810,00",,,,,
2025-07-24,Helado Not ice cream chocolate chips pote 100 g.,"$ 2.900,00",,,,,
2025-07-24,Helado Vegetal Cookies Y Cream Not Ice 330g,,,"$8.300,00",,,
2025-07-24,Helado Vegetal Super Dulce De Leche Not Ice Cream 330g,,,"$8.300,00",,,
2025-07-24,Helado de chocolate chips NotIceCream® 330 g.,"$ 6.225,00",,,,,
2025-07-24,Helado de frutillas con crema NotIceCream® 330 g.,"$ 8.750,00",,,,,
2025-07-24,Medallon A Base De Vegetal X2 Not Burger 160g,,,"$3.240,25",,,
2025-07-24,Medallon A Base De Vegetal X4 Not Burger 320g,,,"$5.849,35",,,
2025-07-24,Medallon A Base De Vegetal Xl X2 Not Burger 240g,,,"$4.841,85",,,
2025-07-24,Medallon A Base De Vegetales Not Burger 130g,,,"$2.007,85",,,
2025-07-24,Medallon Not chicken burger flow pack x2 80 g.,"$ 4.279,00",,,,,
2025-07-24,Medallon Notchicken Relleno Espinaca Notco 240 Gr.,,,,$ 5.550,,
2025-07-24,Medallones Estilo Parrillera Not Burger 220 Grm,,,"$4.072,25",,,
2025-07-24,Medallones Notco Burger Estilo Parrillera Congelados X2 110grs,,"$$5.115,00",,,,
2025-07-24,Medallones Notco Not Burger Premium X4 320grs,,"$$6.787,50",,,,
2025-07-24,Medallones Notco Not Burger X2 160grs,,"$$3.765,00",,,,
2025-07-24,Medallones Notco Not Burger Xl Premium X2 240grs,,"$$5.610,00",,,,
2025-07-24,Medallones Notco Not Chicken Crispy Rellenas Napolitanas X2 0.24kgs,,"$$5.750,00",,,,
2025-07-24,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 0.24kgs,,"$$5.750,00",,,,
2025-07-24,Medallones Notco Notburger Quick Sabor Carne X2 130grs,,"$$2.437,50",,,,
2025-07-24,Medallón A Base De Plantas Sabor Pollo Not Chiken 200g,,,"$5.555,00",,,
2025-07-24,Medallón A Base De Vegetales Not Chiken 160g,,,"$4.279,00",,,
2025-07-24,Medallón Not Burger Premium 320 Gr X 4 Un Not Co,,,,,,$9.100
2025-07-24,Medallón Not burger parrillera 2 uni,"$ 6.259,00",,,,,
2025-07-24,Medallón Not burger premium XL flow pack 2 uni,"$ 7.449,00",,,,,
2025-07-24,Medallón Not burger premium flow pack 2 uni,"$ 3.239,00",,,,,
2025-07-24,Medallón Not burger premium flow pack 4 uni,"$ 6.749,25",,,,,
2025-07-24,Medallón Not burger quick flow pack 2 uni,"$ 2.316,75",,,,,
2025-07-24,Medallón Not chicken rellena flow pack 2 uni,"$ 3.776,50",,,,,
2025-07-24,Medallón The Not Co Premium Not Burger 160 Gr X 2 U,,,,,$5.550,$5.100
2025-07-24,Medallón The Not Co Premium Not Burger 240 Gr X 2 U,,,,,,$5.700
2025-07-24,Medallón crispy Not chicken burger flowpack x2 100 g.,"$ 5.500,00",,,,,
