fecha,producto,carrefour,coope,coto,dia,disco,vea
2025-10-17,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,,,"$5.369,00",,,
2025-10-17,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,,,"$4.649,00",,,
2025-10-17,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,,,,,$1.950,
2025-10-17,Barra proteica Not Protein almond salted 45 grs,"$ 1.949,00",,,,,
2025-10-17,Barra proteica Not Protein barry pie 45 grs,"$ 1.949,00",,,,,
2025-10-17,Barra proteica Not Protein chocolate 45 grs,"$ 1.949,00",,,,,
2025-10-17,Barra proteica NotProtein crunchy chocomani 35 grs,"$ 1.166,67",,,,,
2025-10-17,Barra proteica Notprotein crunchy netflix 35 grs,"$ 1.166,67",,,,,
2025-10-17,Bebida Vegetal Avena X 1 L Not Milk,,,,,"$4.312,5",
2025-10-17,Burger Crispy 2 Un X 100 Gr Not Chicken,,,,,$4.160,$3.835
2025-10-17,Chicken Crispy Rellena Champis X 240 Gr Not Chicken,,,,,$4.095,
2025-10-17,Chorizo Vegano X 240 Gr Not Chorixo,,,,,$8.900,
2025-10-17,Chorizo a base de planta NotChorixo 240 grs,"$ 8.650,00",,,,,
2025-10-17,Formados Notchicken Spicy Bit Con Salsa Tabasco 250grs,,"$$7.290,00",,,,
2025-10-17,Helado Chocolate Chip NOT ICE CREAM 330 Grm,,,"$8.300,00",,,
2025-10-17,Helado Chocolate Chips 100 Gr Not Icecream,,,,,,$2.800
2025-10-17,Helado Cookies And Cream 330 Gr Not Icecream,,,,,,$8.400
2025-10-17,Helado Vegetal Cookies Y Cream Not Ice 330g,,,"$8.300,00",,,
2025-10-17,Helado Vegetal Super Dulce De Leche Not Ice Cream 330g,,,"$8.300,00",,,
2025-10-17,Helado de frutillas con crema NotIceCream® 330 g.,"$ 8.300,00",,,,,
2025-10-17,Medallon Not chicken burger flow pack x2 80 g.,"$ 4.279,00",,,,,
2025-10-17,Medallon NotBurger Quick NotCo 130 Gr.,,,,$ 2.285,,
2025-10-17,Medallon Notchicken Burger 160g (2u),,,"$4.279,00",,,
2025-10-17,Medallon Notchicken Burger Crispy 200g (2u),,,"$5.559,00",,,
2025-10-17,Medallones Notco Burger Estilo Parrillera Congelados X2 110grs,,"$$5.060,30",,,,
2025-10-17,Medallones Notco Not Burger X2 160grs,,"$$3.724,70",,,,
2025-10-17,Medallones Notco Not Burger Xl Premium X2 240grs,,"$$5.550,30",,,,
2025-10-17,Medallones Notco Not Chicken Crispy Rellenas Napolitanas X2 0.24kgs,,"$$6.095,00",,,,
2025-10-17,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 0.24kgs,,"$$6.095,00",,,,
2025-10-17,Medallón Not Burger Premium 320 Gr X 4 Un Not Co,,,,,,$9.600
2025-10-17,Medallón Not burger parrillera 2 uni,"$ 6.259,00",,,,,
2025-10-17,Medallón Not burger premium XL flow pack 2 uni,"$ 4.841,85",,,,,
2025-10-17,Medallón Not burger premium flow pack 2 uni,"$ 3.240,25",,,,,
2025-10-17,Medallón Not burger premium flow pack 4 uni,"$ 8.999,00",,,,,
2025-10-17,Medallón Not burger quick flow pack 2 uni,"$ 2.059,33",,,,,
2025-10-17,Medallón Not chicken rellena flow pack 2 uni,"$ 3.506,75",,,,,
2025-10-17,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,$ 6.640,,
2025-10-17,Medallón Notburger Notco 160g (2u),,,"$4.985,00",,,
2025-10-17,Medallón Notburger Notco 320g (4u),,,"$8.999,00",,,
2025-10-17,Medallón Notburger Parrillera Notco 220g (2u),,,"$6.265,00",,,
2025-10-17,Medallón Notburger Quick Notco 130g (2u),,,"$3.089,00",,,
2025-10-17,Medallón The Not Co Premium Not Burger 160 Gr X 2 U,,,,,$5.850,$5.400
2025-10-17,Medallón The Not Co Premium Not Burger 240 Gr X 2 U,,,,,,$8.100
2025-10-17,Medallón Xl Notburger Notco 240g (2u),,,"$7.449,00",,,
2025-10-17,Medallón crispy Not chicken burger flowpack x2 100 g.,"$ 3.610,75",,,,,
2025-10-17,Medallón relleno champis NotChicken 240 grs,"$ 5.089,00",,,,,
2025-10-17,Medallón relleno espinaca Not chicken 240 g.,"$ 3.506,75",,,,,
2025-10-17,Mila con provenzal Notmila 110 grs,"$ 2.735,85",,,,,
2025-10-17,Mila con semillas NotChicken 110 grs,"$ 3.695,25",,,,,
2025-10-17,Mila con semillas NotMila 110 grs,"$ 4.919,00",,,,,
2025-10-17,Milanesa Not Chicken Mila 110 Gr X 2 U,,,,,$3.955,$3.640
2025-10-17,Milanesas Notco Not Mila X2 220grs,,"$$3.175,90",,,,
2025-10-17,Not Burguer Quick 2 U De 65 Gr,,,,,$3.600,$3.300
2025-10-17,Not Chicken Burger 2 Un X 80 Gr Not Chicken,,,,,$3.250,$2.990
2025-10-17,Not Chicken Crispy The Not Co Rellena Espinaca 240 Gr,,,,,$4.095,$3.770
2025-10-17,Not Chicken Crispy The Not Co Rellena Napolitana 240 Gr,,,,,,$3.770
2025-10-17,Not Mila Chicken 220 Gr.,,,,$ 1.499,,
2025-10-17,NotChicken Nuggets 300 Gr.,,,,$ 7.565,,
2025-10-17,NotChickenMila 2.0 220 g.,"$ 4.879,00",,,,,
2025-10-17,NotMila Chicken 220 Gr.,,,,$ 5.020,,
2025-10-17,NotMila Crispy Rellena Espinaca 240 Gr.,,,,$ 5.390,,
2025-10-17,NotMila Meat 220 Gr.,,,,$ 3.120,,
2025-10-17,Notburger The Not Co Parrillera 110 Gr,,,,,,$6.800
2025-10-17,Notcheese Dambo Notco 140 Gr.,,,,$ 5.450,,
2025-10-17,Notchicken Burger X2 160grs,,"$$4.503,00",,,,
2025-10-17,Notchicken Crispy Rellena Champis 120grs (2u),,,"$5.089,00",,,
2025-10-17,Notchicken Mila Notco Con Semillas 220grs,,"$$3.920,00",,,,
2025-10-17,Notchicken Nuggets 300g,,,"$7.349,00",,,
2025-10-17,Notchicken Spicybites 250g,,,"$7.039,00",,,
2025-10-17,Notchicken Sticks 300g,,,"$7.349,00",,,
2025-10-17,Notchorixo 240g (4u),,,"$7.899,00",,,
2025-10-17,Notco Not Chorixo X4 240grs,,"$$9.120,00",,,,
2025-10-17,Notebook Gad-C3 Gadnic 141 I3 8GB DDR4 sodimm 512 GB SSD,"$ 566.749,00",,,,,
2025-10-17,"Notebook Gadnic G3 Intel Celeron 4GB RAM 128GB SSD 14.1""","$ 281.849,00",,,,,
2025-10-17,Notebook Lenovo V15 G2 intel core I7 Ram 8Gb SSD 256GB FreeDOS 15.6,"$ 1.589.099,00",,,,,
2025-10-17,Notmila Chicken 220g (2u),,,"$4.879,00",,,
2025-10-17,Notmila Crispy Rellena Espinaca 240g (2u),,,"$5.395,00",,,
2025-10-17,Notmila Crispy Rellena Napolitana 240g (2u),,,"$5.395,00",,,
