fecha,producto,carrefour,coope,coto,dia,disco,vea
2026-02-24,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,,,"$5.685,00",,,
2026-02-24,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,,,"$4.919,00",,,
2026-02-24,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,,,,,$1.950,
2026-02-24,Barra proteica Crunchy chocolemon notprotein 35 grs,"$ 1.166,67",,,,,
2026-02-24,Barra proteica Not Protein almond salted 45 grs,"$ 2.110,00",,,,,
2026-02-24,Barra proteica Not Protein barry pie 45 grs,"$ 2.110,00",,,,,
2026-02-24,Barra proteica Not Protein chocolate 45 grs,"$ 2.110,00",,,,,
2026-02-24,Barra proteica NotProtein crunchy chocomani 35 grs,"$ 1.206,67",,,,,
2026-02-24,Barra proteica Notprotein crunchy netflix 35 grs,"$ 1.206,67",,,,,
2026-02-24,Bocadito plant based spicy bites Not Chicken 250 g.,"$ 7.319,00",,,,,
2026-02-24,Bocaditos De Pollo Spicy Bites 250 Gr Not Chicken,,,,,$8.100,
2026-02-24,Burger Crispy 2 Un X 100 Gr Not Chicken,,,,,$6.400,$5.900
2026-02-24,Chicken Crispy Rellena Champis X 240 Gr Not Chicken,,,,,$6.300,
2026-02-24,Chorizo a base de planta NotChorixo 240 grs,"$ 5.849,35",,,,,
2026-02-24,Formados Notchicken Spicy Bit Con Salsa Tabasco 250grs,,"$$7.582,00",,,,
2026-02-24,Leche plant based Not Milk original tetra 1lt,"$ 5.695,00",,,,,
2026-02-24,Medallon Not chicken burger flow pack x2 80 g.,"$ 2.895,75",,,,,
2026-02-24,Medallon NotBurger Quick NotCo 130 Gr.,,,,$ 3.265,,
2026-02-24,Medallon Notchicken Burger 160g (2u),,,"$4.454,00",,,
2026-02-24,Medallon Notchicken Burger Crispy 200g (2u),,,"$5.775,00",,,
2026-02-24,Medallones Notco Not Burger Premium X4 320grs,,"$$10.265,00",,,,
2026-02-24,Medallones Notco Not Burger X2 160grs,,"$$5.693,00",,,,
2026-02-24,Medallones Notco Not Burger Xl Premium X2 240grs,,"$$8.484,00",,,,
2026-02-24,Medallones Notco Not Chicken Crispy Rellenas Napolitanas X2 0.24kgs,,"$$6.765,00",,,,
2026-02-24,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 240grs,,"$$6.765,00",,,,
2026-02-24,Medallones Notco Not Chicken Rellenos Champis X2 120grs,,"$$7.981,00",,,,
2026-02-24,Medallones Notco Notburger Quick Sabor Carne X2 130grs,,"$$3.686,00",,,,
2026-02-24,Medallón Not Burger Premium 320 Gr X 4 Un Not Co,,,,,$10.150,$9.400
2026-02-24,Medallón Not burger parrillera 2 uni,"$ 4.295,85",,,,,
2026-02-24,Medallón Not burger premium XL flow pack 2 uni,"$ 7.379,00",,,,,
2026-02-24,Medallón Not burger premium flow pack 2 uni,"$ 5.019,00",,,,,
2026-02-24,Medallón Not burger premium flow pack 4 uni,"$ 5.590,00",,,,,
2026-02-24,Medallón Not burger quick flow pack 2 uni,"$ 3.270,00",,,,,
2026-02-24,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,$ 6.600,,
2026-02-24,Medallón Notburger Notco 160g (2u),,,"$5.285,00",,,
2026-02-24,Medallón Notburger Notco 320g (4u),,,"$9.539,00",,,
2026-02-24,Medallón Notburger Parrillera Notco 220g (2u),,,"$6.639,00",,,
2026-02-24,Medallón Notburger Quick Notco 130g (2u),,,"$3.274,00",,,
2026-02-24,Medallón The Not Co Premium Not Burger 160 Gr X 2 U,,,,,$6.100,$5.900
2026-02-24,Medallón The Not Co Premium Not Burger 240 Gr X 2 U,,,,,$8.750,$8.550
2026-02-24,Medallón Xl Notburger Notco 240g (2u),,,"$7.895,00",,,
2026-02-24,Medallón crispy Not chicken burger flowpack x2 100 g.,"$ 5.775,00",,,,,
2026-02-24,Medallón relleno champis NotChicken 240 grs,"$ 3.714,75",,,,,
2026-02-24,Medallón relleno espinaca Not chicken 240 g.,"$ 5.710,00",,,,,
2026-02-24,Mila con provenzal Notmila 110 grs,"$ 2.755,35",,,,,
2026-02-24,Mila con semillas NotChicken 110 grs,"$ 5.047,20",,,,,
2026-02-24,Mila con semillas NotMila 110 grs,"$ 5.459,00",,,,,
2026-02-24,Milanesa Not Chicken Mila 110 Gr X 2 U,,,,,$3.850,$3.745
2026-02-24,Milanesas Notco Not Chicken Mila X2 220grs,,"$$5.753,00",,,,
2026-02-24,Milanesas Notco Not Mila X2 220grs,,"$$5.036,00",,,,
2026-02-24,Not Burguer Quick 2 U De 65 Gr,,,,,$3.600,
2026-02-24,Not Chicken Burger 2 Un X 80 Gr Not Chicken,,,,,$4.850,$4.600
2026-02-24,Not Chicken Crispy The Not Co Rellena Espinaca 240 Gr,,,,,,$5.950
2026-02-24,NotChicken Nuggets 300 Gr.,,,,$ 7.630,,
2026-02-24,NotChickenMila 2.0 220 g.,"$ 4.919,00",,,,,
2026-02-24,NotMila Chicken 220 Gr.,,,,$ 4.125,,
2026-02-24,NotMila Crispy Rellena Espinaca 240 Gr.,,,,$ 5.930,,
2026-02-24,NotMila Meat 220 Gr.,,,,$ 4.230,,
2026-02-24,Notburger The Not Co Parrillera 110 Gr,,,,,$7.200,$6.800
2026-02-24,Notchicken Burger Crispy X2 200grs,,"$$5.981,00",,,,
2026-02-24,Notchicken Burger X2 160grs,,"$$4.683,00",,,,
2026-02-24,Notchicken Crispy Rellena Champis 120grs (2u),,,"$5.715,00",,,
2026-02-24,Notchicken Mila Notco Con Semillas 220grs,,"$$5.600,00",,,,
2026-02-24,Notchicken Nuggets 300g,,,"$7.639,00",,,
2026-02-24,Notchicken Spicybites 250g,,,"$7.319,00",,,
2026-02-24,Notchicken Sticks 300g,,,"$7.639,00",,,
2026-02-24,Notchorixo 240g (4u),,,"$8.999,00",,,
2026-02-24,Notco Not Chorixo X4 240grs,,"$$9.941,00",,,,
2026-02-24,Notco Not Salxicha X5 250grs,,"$$7.469,00",,,,
2026-02-24,Notebook Gadnic 14 Pulgadas Intel Celeron N4020 RAM 4GB SSD 128GB Cámara Frontal,"$ 358.799,00",,,,,
2026-02-24,"Notebook Samsung Galaxy Book 3 15,6"" i3 8gb Ram 256gb 120hz Silver","$ 940.049,00",,,,,
2026-02-24,Notmila Chicken 220g (2u),,,"$5.169,00",,,
2026-02-24,Notmila Crispy Rellena Espinaca 240g (2u),,,"$5.715,00",,,
2026-02-24,Notmila Crispy Rellena Napolitana 240g (2u),,,"$5.715,00",,,
2026-02-24,Notmila Meat 220g (2u),,,"$4.469,00",,,
2026-02-24,Notmila Notco Con Semillas 220grs,,"$$5.648,00",,,,
2026-02-24,Nuggets 300 Gr Not Chicken,,,,,$8.150,$7.800
2026-02-24,Nuggets Not chicken en bolsa 300 g.,"$ 4.959,50",,,,,
2026-02-24,Nuggets Not chicken sticks 300 g.,"$ 7.639,00",,,,,
2026-02-24,Nuggets Notchicken Notco 0.3kgs,,"$$8.026,00",,,,
2026-02-24,Nuggets Notco Not Chicken Sticks Con Hierbas Congelados 300grs,,"$$8.026,00",,,,
2026-02-24,Paletas Heladas De Chocolate Blanco Not Icecream 4 X 240 Gr,,,"$9.105,00",,,
2026-02-24,Resaltador Sharpie S.Note Colores Varios,,"$$5.154,00",,,,
2026-02-24,Salchicha de planta Not Salxicha 5 uni,"$ 5.719,00",,,,,
2026-02-24,Sticks 300 Gr Not Chicken,,,,,$8.150,$7.950
