fecha,producto,carrefour,coope,coto,dia,disco,vea
2025-10-11,Burger 100 Vegetal 226 Gr Vegetalex,,,,,$7.150,$6.650
2025-10-11,Burger De Origen Vegetal Vegetalex 226g,,,"$3.179,50",,,
2025-10-11,Hamburguesa De Soja Vegetalex Tradicional 226 Gr.,,,,$ 6.350,,
2025-10-11,Hamburguesa Vegetalex Soja 300 Gr,,,,,$6.300,$5.800
2025-10-11,Hamburguesa de soja Vegetalex 4 u.,"$ 5.669,00",,,,,
2025-10-11,Hamburguesas De Soja Vegetalex X4 300grs,,"$$5.590,00",,,,
2025-10-11,Hot Dogs 100 Vegetal 225 Gr Vegetalex,,,,,$7.250,$6.700
2025-10-11,Hot Dogs De Origen Vegetal Vegetalex 225g,,,"$3.164,50",,,
2025-10-11,Hot Dogs Vegetalex 100% Vegetal 225 Gr.,,,,$ 6.350,,
2025-10-11,Medallon NotBurger Quick NotCo 130 Gr.,,,,$ 3.121,,
2025-10-11,Medallones De Calabaza Avena Y Chia Vegetalex 300g,,,"$2.837,50",,,
2025-10-11,Medallones De Calabaza Vegetalex Con Avena Y Chía X4 300grs,,"$$5.590,00",,,,
2025-10-11,Medallones De Espinaca Vegetalex 300g,,,"$2.837,50",,,
2025-10-11,Medallones De Espinaca Vegetalex X4 300grs,,"$$5.590,00",,,,
2025-10-11,Medallones De Legumbres Y Quinoa Vegetalex 300g,,,"$2.837,50",,,
2025-10-11,Medallones De Legumbres Y Quinoa Vegetalex X4 300grs,,"$$5.590,00",,,,
2025-10-11,Medallones De Vegetales Vegetalex Burger X2 226grs,,"$$4.790,00",,,,
2025-10-11,Medallones De Verduras Vegetalex 300g,,,"$2.837,50",,,
2025-10-11,Medallones De Verduras Vegetalex X4 300grs,,"$$5.590,00",,,,
2025-10-11,Medallones Vegetales VEGETALÉX 4 Uni X 75 Gr Soja,,,"$2.837,50",,,
2025-10-11,Medallón Calabaza 300 Gr Vegetalex,,,,,$6.400,"$3.867,5"
2025-10-11,Medallón Espinaca 300 Gr Vegetalex,,,,,$6.400,"$3.867,5"
2025-10-11,Medallón Legumbres 300 Gr Vegetalex,,,,,$6.400,"$3.867,5"
2025-10-11,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,$ 6.640,,
2025-10-11,"Medallón Vegetalex Calabaza, Avena y Chía 300 Gr.",,,,$ 5.670,,
2025-10-11,Medallón Vegetalex Espinaca 300 Gr.,,,,$ 5.670,,
2025-10-11,Medallón Verduras 300 Gr Vegetalex,,,,,$6.400,"$3.867,5"
2025-10-11,Medallón de calabaza avena y chia Vegetalex en caja 4 uni,"$ 2.835,00",,,,,
2025-10-11,Medallón de espinaca Vegetalex en caja 4 uni,"$ 2.835,00",,,,,
2025-10-11,Medallón de legumbres y quinoa Vegetalex en caja 4 uni,"$ 2.834,50",,,,,
2025-10-11,Medallón de vegetal burguer Vegetalex 2 uni,"$ 6.350,00",,,,,
2025-10-11,Medallón de verduras Vegetalex en caja 4 uni,"$ 2.837,50",,,,,
2025-10-11,Milanesa Vegetalex Calabaza 340 Gr Vegetalex,,,,,"$3.366,67","$3.022,5"
2025-10-11,Milanesa Vegetalex Cebolla 340 Gr Vegetalex,,,,,"$3.366,67","$3.022,5"
2025-10-11,Milanesa Vegetalex Espinaca 340 Gr Vegetalex,,,,,$5.050,"$3.022,5"
2025-10-11,Milanesa Vegetalex Tradicional 340 Gr Vegetalex,,,,,$4.500,$2.730
2025-10-11,Milanesa de Soja Vegetalex Tradicional 340 Gr.,,,,$ 3.990,,
2025-10-11,Milanesa de calabaza Vegetalex 4 uni,"$ 4.370,00",,,,,
2025-10-11,Milanesa de soja Vegetalex 4 uni,"$ 3.990,00",,,,,
2025-10-11,Milanesa de soja y cebolla Vegetalex 4 uni,"$ 4.370,00",,,,,
2025-10-11,Milanesa de soja y espinaca congelada Vegetalex 4 uni,"$ 3.999,00",,,,,
2025-10-11,Milanesas De Soja Con Calabaza Vegetalex 340g,,,"$2.185,00",,,
2025-10-11,Milanesas De Soja Con Cebolla Vegetalex 340g,,,"$2.185,00",,,
2025-10-11,Milanesas De Soja Con Espinaca Vegetalex 340g,,,"$1.999,50",,,
2025-10-11,Milanesas De Soja Tradicional Vegetalex 340g,,,"$2.022,50",,,
2025-10-11,Milanesas De Soja Vegetalex Con Calabaza X4 340grs,,"$$4.390,00",,,,
2025-10-11,Milanesas De Soja Vegetalex Con Cebolla X4 340grs,,"$$4.390,00",,,,
2025-10-11,Milanesas De Soja Vegetalex Con Espinaca X4 340grs,,"$$4.390,00",,,,
2025-10-11,Milanesas De Soja Vegetalex Tradicionales X4 340grs,,"$$3.990,00",,,,
