fecha,producto,carrefour,coope,coto,dia,disco,vea
2026-02-01,Alimento A Base De Plantas Chicken Mila Not Chicken 220g,,,"$3.695,25",,,
2026-02-01,Alimento A Base De Plantas Milanesas Con Semillas Not Mila 220g,,,"$3.197,35",,,
2026-02-01,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,,,,,$1.470,
2026-02-01,Barra proteica Not Protein almond salted 45 grs,"$ 2.110,00",,,,,
2026-02-01,Barra proteica Not Protein barry pie 45 grs,"$ 2.110,00",,,,,
2026-02-01,Barra proteica Not Protein chocolate 45 grs,"$ 2.110,00",,,,,
2026-02-01,Barra proteica NotProtein crunchy chocomani 35 grs,"$ 1.750,00",,,,,
2026-02-01,Barra proteica Notprotein crunchy netflix 35 grs,"$ 1.750,00",,,,,
2026-02-01,Bebida Vegetal Avena X 1 L Not Milk,,,,,$6.300,
2026-02-01,Bebida Vegetal Original X 1 L Not Milk,,,,,$6.300,
2026-02-01,Bocadito plant based spicy bites Not Chicken 250 g.,"$ 7.319,00",,,,,
2026-02-01,Bocaditos De Pollo Spicy Bites 250 Gr Not Chicken,,,,,$8.100,
2026-02-01,Burger Crispy 2 Un X 100 Gr Not Chicken,,,,,$6.400,$5.900
2026-02-01,Chicken Crispy Rellena Champis X 240 Gr Not Chicken,,,,,$6.300,
2026-02-01,Formados Notchicken Spicy Bit Con Salsa Tabasco 250grs,,"$$5.103,00",,,,
2026-02-01,Leche plant based Not Milk original tetra 1lt,"$ 5.695,00",,,,,
2026-02-01,Medallon NotBurger Quick NotCo 130 Gr.,,,,$ 2.125,,
2026-02-01,Medallon Notchicken Burger 160g (2u),,,"$2.895,10",,,
2026-02-01,Medallon Notchicken Burger Crispy 200g (2u),,,"$2.887,50",,,
2026-02-01,Medallones Notco Not Burger Premium X4 320grs,,"$$6.715,10",,,,
2026-02-01,Medallones Notco Not Burger X2 160grs,,"$$3.724,70",,,,
2026-02-01,Medallones Notco Not Burger Xl Premium X2 240grs,,"$$5.550,30",,,,
2026-02-01,Medallones Notco Not Chicken Crispy Rellenas Napolitanas X2 0.24kgs,,"$$4.266,50",,,,
2026-02-01,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 240grs,,"$$4.266,50",,,,
2026-02-01,Medallones Notco Not Chicken Rellenos Champis X2 120grs,,"$$5.033,00",,,,
2026-02-01,Medallones Notco Notburger Quick Sabor Carne X2 130grs,,"$$2.411,50",,,,
2026-02-01,Medallón Not Burger Premium 320 Gr X 4 Un Not Co,,,,,$6.195,$5.740
2026-02-01,Medallón Not burger parrillera 2 uni,"$ 4.433,00",,,,,
2026-02-01,Medallón Not burger premium XL flow pack 2 uni,"$ 7.379,00",,,,,
2026-02-01,Medallón Not burger premium flow pack 2 uni,"$ 5.019,00",,,,,
2026-02-01,Medallón Not burger premium flow pack 4 uni,"$ 8.600,00",,,,,
2026-02-01,Medallón Not chicken rellena flow pack 2 uni,"$ 5.715,00",,,,,
2026-02-01,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,$ 4.130,,
2026-02-01,Medallón Notburger Notco 160g (2u),,,"$3.435,25",,,
2026-02-01,Medallón Notburger Notco 320g (4u),,,"$6.200,35",,,
2026-02-01,Medallón Notburger Parrillera Notco 220g (2u),,,"$4.315,35",,,
2026-02-01,Medallón Notburger Quick Notco 130g (2u),,,"$2.128,10",,,
2026-02-01,Medallón The Not Co Premium Not Burger 160 Gr X 2 U,,,,,$4.270,$4.130
2026-02-01,Medallón The Not Co Premium Not Burger 240 Gr X 2 U,,,,,$6.125,$5.985
2026-02-01,Medallón Xl Notburger Notco 240g (2u),,,"$5.131,75",,,
2026-02-01,Medallón crispy Not chicken burger flowpack x2 100 g.,"$ 5.499,00",,,,,
2026-02-01,Medallón relleno champis NotChicken 240 grs,"$ 5.715,00",,,,,
2026-02-01,Medallón relleno espinaca Not chicken 240 g.,"$ 5.710,00",,,,,
2026-02-01,Mila con provenzal Notmila 110 grs,"$ 2.983,00",,,,,
2026-02-01,Mila con semillas NotChicken 110 grs,"$ 5.685,00",,,,,
2026-02-01,Mila con semillas NotMila 110 grs,"$ 4.919,00",,,,,
2026-02-01,Milanesa Not Chicken Mila 110 Gr X 2 U,,,,,$5.650,
2026-02-01,Milanesas Notco Not Chicken Mila X2 220grs,,"$$3.628,10",,,,
2026-02-01,Milanesas Notco Not Mila X2 220grs,,"$$3.175,90",,,,
2026-02-01,Not Burguer Quick 2 U De 65 Gr,,,,,$3.600,
2026-02-01,Not Chicken Burger 2 Un X 80 Gr Not Chicken,,,,,$4.850,
2026-02-01,Not Chicken Crispy The Not Co Rellena Espinaca 240 Gr,,,,,$6.300,$5.950
2026-02-01,NotChicken Nuggets 300 Gr.,,,,$ 4.915,,
2026-02-01,NotChickenMila 2.0 220 g.,"$ 4.919,00",,,,,
2026-02-01,NotMila Chicken 220 Gr.,,,,$ 4.125,,
2026-02-01,NotMila Crispy Rellena Espinaca 240 Gr.,,,,$ 3.710,,
2026-02-01,NotMila Meat 220 Gr.,,,,$ 2.745,,
2026-02-01,Notburger The Not Co Parrillera 110 Gr,,,,,,$4.760
2026-02-01,Notchicken Burger Crispy X2 200grs,,"$$4.025,70",,,,
2026-02-01,Notchicken Burger X2 160grs,,"$$3.152,10",,,,
2026-02-01,Notchicken Crispy Rellena Champis 120grs (2u),,,"$3.714,75",,,
2026-02-01,Notchicken Mila Notco Con Semillas 220grs,,"$$3.920,00",,,,
2026-02-01,Notchicken Nuggets 300g,,,"$4.965,35",,,
2026-02-01,Notchicken Spicybites 250g,,,"$4.757,35",,,
2026-02-01,Notchicken Sticks 300g,,,"$4.965,35",,,
2026-02-01,Notchorixo 240g (4u),,,"$5.849,35",,,
2026-02-01,Notco Not Chorixo X4 240grs,,"$$9.120,00",,,,
2026-02-01,Notco Not Salxicha X5 250grs,,"$$6.852,00",,,,
2026-02-01,Notebook Gadnic 14 Pulgadas Intel Celeron N4020 RAM 4GB SSD 128GB Cámara Frontal,"$ 388.049,00",,,,,
2026-02-01,Notebook Gadnic 14 Pulgadas Intel Core I3-1215U 8GB RAM 512GB SSD Alderlake,"$ 694.549,00",,,,,
2026-02-01,"Notebook Samsung Galaxy Book 3 15,6"" i3 8gb Ram 256gb 120hz Silver","$ 904.699,00",,,,,
2026-02-01,Notmila Chicken 220g (2u),,,"$3.359,85",,,
2026-02-01,Notmila Crispy Rellena Espinaca 240g (2u),,,"$3.714,75",,,
2026-02-01,Notmila Crispy Rellena Napolitana 240g (2u),,,"$3.714,75",,,
2026-02-01,Notmila Meat 220g (2u),,,"$2.904,85",,,
2026-02-01,Notmila Notco Con Semillas 220grs,,"$$3.561,60",,,,
2026-02-01,Nuggets 300 Gr Not Chicken,,,,,$8.150,$7.800
2026-02-01,Nuggets Not chicken en bolsa 300 g.,"$ 7.630,00",,,,,
2026-02-01,Nuggets Not chicken sticks 300 g.,"$ 7.269,00",,,,,
2026-02-01,Nuggets Notchicken Notco 0.3kgs,,"$$5.401,90",,,,
2026-02-01,Nuggets Notco Not Chicken Sticks Con Hierbas Congelados 300grs,,"$$5.401,90",,,,
2026-02-01,Paletas Heladas De Chocolate Blanco Not Icecream 4 X 240 Gr,,,"$5.918,25",,,
2026-02-01,Resaltador Sharpie S.Note Colores Varios,,"$$5.154,00",,,,
2026-02-01,Salchicha de planta Not Salxicha 5 uni,"$ 5.719,00",,,,,
2026-02-01,Sticks 300 Gr Not Chicken,,,,,$8.150,$7.700
