fecha,producto,carrefour,coope,coto,dia,disco,vea
2026-02-26,Barra De Proteina Notprotein bar Crunchy Netflix X 35 Grs Not Co,,,,,$1.950,
2026-02-26,Barra proteica Crunchy chocolemon notprotein 35 grs,"$ 1.166,67",,,,,
2026-02-26,Barra proteica Not Protein almond salted 45 grs,"$ 2.110,00",,,,,
2026-02-26,Barra proteica Not Protein barry pie 45 grs,"$ 2.110,00",,,,,
2026-02-26,Barra proteica Not Protein chocolate 45 grs,"$ 2.110,00",,,,,
2026-02-26,Barra proteica NotProtein crunchy chocomani 35 grs,"$ 1.206,67",,,,,
2026-02-26,Barra proteica Notprotein crunchy netflix 35 grs,"$ 1.206,67",,,,,
2026-02-26,Bebida Vegetal Avena X 1 L Not Milk,,,,,$6.300,
2026-02-26,Bocadito plant based spicy bites Not Chicken 250 g.,"$ 7.319,00",,,,,
2026-02-26,Bocaditos De Pollo Spicy Bites 250 Gr Not Chicken,,,,,$5.265,
2026-02-26,Burger Crispy 2 Un X 100 Gr Not Chicken,,,,,$4.160,$5.900
2026-02-26,Chicken Crispy Rellena Champis X 240 Gr Not Chicken,,,,,$4.095,
2026-02-26,Chorizo a base de planta NotChorixo 240 grs,"$ 5.849,35",,,,,
2026-02-26,Formados Notchicken Spicy Bit Con Salsa Tabasco 250grs,,"$$7.582,00",,,,
2026-02-26,Leche plant based Not Milk original tetra 1lt,"$ 5.695,00",,,,,
2026-02-26,Medallon Not chicken burger flow pack x2 80 g.,"$ 2.895,75",,,,,
2026-02-26,Medallon NotBurger Quick NotCo 130 Gr.,,,,$ 3.265,,
2026-02-26,Medallones Notco Not Burger Premium X4 320grs,,"$$10.265,00",,,,
2026-02-26,Medallones Notco Not Burger X2 160grs,,"$$5.693,00",,,,
2026-02-26,Medallones Notco Not Burger Xl Premium X2 240grs,,"$$8.484,00",,,,
2026-02-26,Medallones Notco Not Chicken Crispy Rellenas Napolitanas X2 0.24kgs,,"$$6.765,00",,,,
2026-02-26,Medallones Notco Not Chicken Crispy Rellenos Espinaca X2 240grs,,"$$6.765,00",,,,
2026-02-26,Medallones Notco Not Chicken Rellenos Champis X2 120grs,,"$$7.981,00",,,,
2026-02-26,Medallones Notco Notburger Quick Sabor Carne X2 130grs,,"$$3.686,00",,,,
2026-02-26,Medallón Not Burger Premium 320 Gr X 4 Un Not Co,,,,,,$9.400
2026-02-26,Medallón Not burger parrillera 2 uni,"$ 4.295,85",,,,,
2026-02-26,Medallón Not burger premium XL flow pack 2 uni,"$ 7.749,00",,,,,
2026-02-26,Medallón Not burger premium flow pack 2 uni,"$ 5.269,00",,,,,
2026-02-26,Medallón Not burger premium flow pack 4 uni,"$ 6.174,35",,,,,
2026-02-26,Medallón Not burger quick flow pack 2 uni,"$ 3.270,00",,,,,
2026-02-26,Medallón NotBurger Parrillera NotCo 220 Gr.,,,,$ 6.600,,
2026-02-26,Medallón The Not Co Premium Not Burger 160 Gr X 2 U,,,,,$3.965,$5.900
2026-02-26,Medallón The Not Co Premium Not Burger 240 Gr X 2 U,,,,,"$5.687,5",$8.550
2026-02-26,Medallón crispy Not chicken burger flowpack x2 100 g.,"$ 5.775,00",,,,,
2026-02-26,Medallón relleno champis NotChicken 240 grs,"$ 3.714,75",,,,,
2026-02-26,Medallón relleno espinaca Not chicken 240 g.,"$ 5.710,00",,,,,
2026-02-26,Mila con provenzal Notmila 110 grs,"$ 2.755,35",,,,,
2026-02-26,Mila con semillas NotChicken 110 grs,"$ 5.047,20",,,,,
2026-02-26,Mila con semillas NotMila 110 grs,"$ 3.275,40",,,,,
2026-02-26,Milanesa Not Chicken Mila 110 Gr X 2 U,,,,,$3.575,$3.745
2026-02-26,Milanesas Notco Not Chicken Mila X2 220grs,,"$$5.753,00",,,,
2026-02-26,Milanesas Notco Not Mila X2 220grs,,"$$5.036,00",,,,
2026-02-26,Not Burguer Quick 2 U De 65 Gr,,,,,$2.340,
2026-02-26,Not Chicken Burger 2 Un X 80 Gr Not Chicken,,,,,"$3.152,5",$4.600
2026-02-26,Not Chicken Crispy The Not Co Rellena Espinaca 240 Gr,,,,,,$5.950
2026-02-26,NotChicken Nuggets 300 Gr.,,,,$ 7.630,,
2026-02-26,NotChickenMila 2.0 220 g.,"$ 5.159,00",,,,,
2026-02-26,NotMila Chicken 220 Gr.,,,,$ 4.125,,
2026-02-26,NotMila Crispy Rellena Espinaca 240 Gr.,,,,$ 5.930,,
2026-02-26,NotMila Meat 220 Gr.,,,,$ 4.230,,
2026-02-26,Notburger The Not Co Parrillera 110 Gr,,,,,,$6.800
2026-02-26,Notchicken Burger Crispy X2 200grs,,"$$5.981,00",,,,
2026-02-26,Notchicken Burger X2 160grs,,"$$4.683,00",,,,
2026-02-26,Notchicken Mila Notco Con Semillas 220grs,,"$$5.600,00",,,,
2026-02-26,Notco Not Chorixo X4 240grs,,"$$9.941,00",,,,
2026-02-26,Notco Not Salxicha X5 250grs,,"$$7.469,00",,,,
2026-02-26,Notebook Gadnic 14 Pulgadas Intel Celeron N4020 RAM 4GB SSD 128GB Cámara Frontal,"$ 358.799,00",,,,,
2026-02-26,"Notebook Samsung Galaxy Book 3 15,6"" i3 8gb Ram 256gb 120hz Silver","$ 929.999,00",,,,,
2026-02-26,Notmila Notco Con Semillas 220grs,,"$$5.648,00",,,,
2026-02-26,Nuggets 300 Gr Not Chicken,,,,,,$7.800
2026-02-26,Nuggets Not chicken en bolsa 300 g.,"$ 4.959,50",,,,,
2026-02-26,Nuggets Not chicken sticks 300 g.,"$ 7.639,00",,,,,
2026-02-26,Nuggets Notchicken Notco 0.3kgs,,"$$8.026,00",,,,
2026-02-26,Nuggets Notco Not Chicken Sticks Con Hierbas Congelados 300grs,,"$$8.026,00",,,,
2026-02-26,Resaltador Sharpie S.Note Colores Varios,,"$$5.154,00",,,,
2026-02-26,Salchicha de planta Not Salxicha 5 uni,"$ 5.719,00",,,,,
2026-02-26,Sticks 300 Gr Not Chicken,,,,,"$5.297,5",$7.950
